제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크
진짜 아래글 쓰는 애들은 눈치가 없는거냐,[일반],"디미갤 선생님들이랑 외부인들도 보는데 이런 글들 있으면 이미지만 나빠지지
다들 뭐라고 생각하겠냐
걍 지우게 냅둬라",디갤러,추천 4,조회 272,2025.06.26 21:55:42,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4129&page=1
ㅈ같은 갤 터치는 법,[일반],선생님들 실명 언급 몇 번 해주면 알아서 터짐,디갤러,추천 3,조회 248,2025.06.26 21:22:31,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4126&page=1
불족발 <— 디미급식 1티어는 되는듯,[일반],"ㅇㅇ
- dc official App",ㅇㅇ,추천 6,조회 219,2025.06.26 21:21:26,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4125&page=1
220.88 이 뭐임??? 다 같은데???,[일반],같은사람이 다 쓰는거임??,디갤러,추천 0,조회 214,2025.06.26 21:20:46,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4124&page=1
벌레,[일반],싫!엉!,디갤러,추천 0,조회 118,2025.06.26 21:19:24,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4123&page=1
사과 안하고 계속 뻘글 올리네,[일반],"반성의 여지가 없다

디대전부터 시작해서 그냥 인생이 막장이네",디갤러,추천 4,조회 254,2025.06.26 21:19:19,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4122&page=1
뽀미 자식이 돌아다니는 듯,[일반],뽀미 목걸이 없는 치즈냥이 돌아다님,디갤러,추천 0,조회 136,2025.06.26 21:18:02,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4121&page=1
디씨 업뎃된거 모르노 병신년들,[일반],댓글 다중이짓해도 한사람인거 보인다ㅋㅋ,ㅇㅇ,추천 3,조회 356,2025.06.26 21:18:02,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4120&page=1
요즘 왜 뽀미 안보임?,[일반],ㅈㄱㄴ,디갤러,추천 0,조회 103,2025.06.26 21:17:52,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4119&page=1
어떻게든 글 묻어가려고 하는데,[일반],그렇게 당당하면 쌤한테 말해도 됨? 뻘글 쳐올리지말고 대답이나 해라,디갤러,추천 4,조회 234,2025.06.26 21:17:13,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4118&page=1
얘들아 cls로는 게임 안된다,[일반],g06으로 하셈,디갤러,추천 1,조회 126,2025.06.26 21:16:07,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4117&page=1
오늘 불족 소스가 맛도리였음,[일반],ㄹㅇ ㅋㅋ,디갤러,추천 2,조회 115,2025.06.26 21:15:51,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4116&page=1
ㅇㄴ 겜 왜안되냐,[일반],하;;,디갤러,추천 0,조회 69,2025.06.26 21:15:23,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4115&page=1
기말 못 던지는 24기면 개추 ㅋㅋ,[일반],고교학점제 불쌍 ㅉ,디갤러,추천 2,조회 125,2025.06.26 21:14:54,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4114&page=1
학교에 벌레 존나많이나오네,[일반],"체감상 작년보다 더 많이 나오는 것 같은데
세스코 안부르나",디갤러,추천 0,조회 108,2025.06.26 21:14:39,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4113&page=1
배,[일반],고파,디갤러,추천 0,조회 78,2025.06.26 21:14:27,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4112&page=1
족발,[일반],ㄱㄴㄴ,디갤러,추천 0,조회 130,2025.06.26 21:14:17,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4111&page=1
브롤 개재밋다,[일반],팽 개좋다,디갤러,추천 0,조회 83,2025.06.26 21:14:02,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4110&page=1
아라마크 폼 돌아옴,[일반],"오늘 족발에 감동받았다
이걸살리네
작년보다 살만한듯?",디갤러,추천 4,조회 109,2025.06.26 21:13:34,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4109&page=1
기숙사 와이파이 왜안되냐,[일반],데이터도 안되는건 좀 슬프네,디갤러,추천 0,조회 72,2025.06.26 21:13:17,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4108&page=1
기말 공부할거야?,[일반],기말 공부할 필요 없지않음?,디갤러,추천 0,조회 68,2025.06.26 21:13:01,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4107&page=1
디붕이들아 기말고사 공부,[일반],하고잇음?,디갤러,추천 0,조회 70,2025.06.26 21:12:20,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4106&page=1
또 웹플이냐,[일반],그만좀 나대라,디갤러,추천 0,조회 167,2025.06.26 21:09:25,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4105&page=1
내신,[일반],"진지하게 이제
내신 챙기는사람 아직도있음?",ㅋㅋㅋ,추천 0,조회 109,2025.06.26 21:06:48,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4104&page=1
성직은 공부 어떻게해?,[일반],ㅈㄱㄴ,디갤러,추천 0,조회 92,2025.06.26 21:06:29,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4103&page=1
왜 토요일에 집보내냐,[일반],금요일 밤에 보내주면 안됨?,디갤러,추천 0,조회 102,2025.06.26 21:05:51,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4101&page=1
둘이서 뻘글좀 그만쓰셈,[일반],ㅇㅇ이랑 디갤러 너네 둘이 갑자기 이상한 뻘글쓰는데 왜그러는거임?,디갤러,추천 3,조회 236,2025.06.26 21:05:04,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4100&page=1
근디 왜 탄산은 안되는 거임??,[일반],이썩어서??? 그럼 초코는 왜 반입되는데...,ㅇㅇ,추천 1,조회 109,2025.06.26 21:04:28,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4099&page=1
매점에,[일반],매점에 아이스크림 많들라,디갤러,추천 1,조회 94,2025.06.26 21:03:48,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4098&page=1
점심시간에 배드민턴 코트는 왜 펼침?,[일반],아무도 안하던데,디갤러,추천 2,조회 144,2025.06.26 21:03:28,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4097&page=1
개인적으로 무도는,[일반],옛날에 지상렬 있었을 때가 훨신 재밌었는듯,ㅇㅇ,추천 1,조회 92,2025.06.26 21:03:00,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4096&page=2
나와라,[일반],2학년 제발 똥좀 빨리싸라 쥭겠가,디갤러,추천 1,조회 91,2025.06.26 21:02:50,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4095&page=2
배구,[일반],"제발 시켜줘라
체육관 천장 부실하게 만들어 놔서 시켜주질 않음",디갤러,추천 1,조회 80,2025.06.26 21:02:31,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4094&page=2
디미고양이를 아시나요,[일반],사실 제가 납치했어용,ㅇㅇ,추천 3,조회 126,2025.06.26 21:01:03,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4093&page=2
나 디미고 골프 1짱인데,[일반],"골프 방과후 다음학기엔 열리냐??
너무 골프 하고싶다 ㅠㅠㅠ",ㅇㅇ,추천 1,조회 100,2025.06.26 21:00:33,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4092&page=2
수원공고에서 왔습니다,[일반],"디미고 전학 되나요???
그냥 궁금 해서 ... ㅎㅎ",ㅇㅇ,추천 1,조회 140,2025.06.26 20:59:42,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4091&page=2
내신,[일반],버림 ㅅㄱ,디갤러,추천 1,조회 83,2025.06.26 20:59:39,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4090&page=2
그거 잇자나,[일반],영어는 연어다…,디갤러,추천 1,조회 103,2025.06.26 20:59:27,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4089&page=2
똥싸면 물좀 내려라,[일반],ㅈㄱㄴ,ㅇㅇ,추천 2,조회 100,2025.06.26 20:59:05,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4088&page=2
화장실,[일반],변기 막혔으면 쫌 말이라도 하던가 해라,디갤러,추천 2,조회 88,2025.06.26 20:57:54,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4087&page=2
한국사,[일반],왜캐빡세냐 죽겟자,디갤러,추천 1,조회 99,2025.06.26 20:57:38,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4086&page=2
디미고 ㄱㄴ?,[일반],134.8,디갤러,추천 1,조회 109,2025.06.26 20:56:42,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4085&page=2
넵,[일반],반갑습니당,디갤러,추천 1,조회 98,2025.06.26 20:55:36,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4080&page=2
안녕하세요 ㅋㅋ 선린인터넷고등학교에서왔습니다 ㅋㅋ,[일반],ㅈㄱㄴ ㅋㅋ,ㅇㅇ,추천 1,조회 163,2025.06.26 20:54:08,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4079&page=2
ㅎㅇ,[일반],반갑노,디갤러,추천 1,조회 87,2025.06.26 20:54:08,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4078&page=2
근데,[일반],디미고 정해인 실존 인물임?,디갤러,추천 0,조회 184,2025.06.26 20:53:26,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4075&page=2
제발좀 그만나대,[일반],표정좀 똑바로하고 ㅋㅋ,디갤러,추천 0,조회 220,2025.06.26 12:03:21,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4073&page=2
디미고 134.5,[질문],"현 중3입니다.
내신은 나쁘지 않았는데 생기부가 개망해서 134.5 (최대 134.8)가 떴습니다.
이 성적으로 이비나 해방 가능할까요?",디갤러,추천 0,조회 192,2025.06.25 23:50:15,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4072&page=2
디미고급식,[일반],복구 언제됨?,디갤러,추천 2,조회 309,2025.06.24 19:22:17,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4070&page=2
일본 노래,[일반],적당히 틀어라 아침부터 꼭 들어야겠나,디갤러,추천 6,조회 267,2025.06.24 06:31:37,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4068&page=2
갤주 << 어디감?,[일반],갤 꼬라지가 말이 아닌데 관리 안하는 이유가뭐임 ㅋㅋ,디갤러,추천 0,조회 290,2025.06.23 19:58:37,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4067&page=2
08들은 들어라,[질문],"여자 문제좀 그만 만들어라
프롬프트
no_humans, solo, pokemon_(creature), open_mouth, smile, looking_at_viewer, green_background, :d, happy, black_eyes
네거티브
프롬프트
샘플링 Euler",디갤러,추천 5,조회 440,2025.06.23 16:24:05,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4065&page=2
407호 고아년들,[일반],진지하게 나가뒤져줬으면 좋겠다,디갤러,추천 15,조회 446,2025.06.23 08:08:32,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4064&page=2
와이파이 ㅅㅂ,[일반],"게임 관련 싹다 막혔네
VPN도 안되던데 뚫으신분 방법 전수좀",디갤러,추천 0,조회 193,2025.06.22 21:01:31,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4063&page=2
열람실 기침 빌런,[일반],"언제까지
기침 할거냐

적당히해라",디갤러,추천 1,조회 292,2025.06.22 15:25:13,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4062&page=2
연고대나 서성한 가는 친구들 모의고사 성적은 어느정도?,[질문],"연고대나 서성한 가는 친구들 모의고사 성적은 어느정도나와요?

그리고 정시로 가면 학교 내신은 안챙겨도 괜찮나요?",디갤러,추천 0,조회 455,2025.06.22 01:55:20,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4060&page=2
단대소고 vs 디미고,[일반],여기서 깜짝 퀴즈!!! 단대소고 vs 디미고??,디갤러,추천 0,조회 369,2025.06.21 02:02:10,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4059&page=2
다 조용히 해라,[일반],"웹플이든 해방이든

성비 ㅈ 박은 것들이.

우리 디컨이 최고 아니겠느냐
- dc official App",디갤러,추천 4,조회 383,2025.06.20 21:51:58,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4057&page=2
해방이고 웹플이고 다 똑같아 병신들아,[일반],"이비 눈에는 니네 둘다 냄새나는 새끼들이야 씨발
글고 00대장 이지랄하는데 나이똥꼬 쳐부리지 말고 수능치고 대학이나 가라
6모 뒤지게 못봤잖냐? ㅋㅋㅋㅋㅋ",디갤러,추천 4,조회 348,2025.06.20 20:20:42,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4056&page=2
진짜 참다가 한마디한다,[일반],"내가 한 달에 한 번 씻는 진정한 웹플 대장인데, 해방 병신인 거 맞다

어줍잖은 일진 놀이하지 말고 커뮤에서 놀거면 내 놀이터인 일베로 와라 예아",디갤러,추천 6,조회 382,2025.06.19 23:32:24,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4055&page=2
고3이면 공부나 할것이지,[일반],디갤에서 나대는건 원래 해방의 유구한 전통인가요?,디갤러,추천 17,조회 500,2025.06.19 22:08:51,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4054&page=2
해방과의 전쟁을 선포한다.,[일반],"이름을 밝힐 순 없지만, 나는 가히 말하자면 웹플 대장이다.

해방새끼들 보자보자하니까 가만 둘 수가 없다.

너무 싸가지도 양심도 없어서 그냥 넘어갈 수가 없다.

적당히 혼 좀 내고 보내려 했는데 너네들은 내 심기를 건드렸다.

더이상 봐주지 않는다. 내 옛날 성격이 나오게 해버렸다 니넨.

따라서 정식적으로 해방에게 선전포고를 날린다.

자신있는 새끼들 차례대로 신관 2층 여자화장실로 모여라.

시간은 댓글에서 니들이 정해라.",디갤러,추천 7,조회 365,2025.06.19 09:23:03,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4053&page=2
"게시판이 조금 소란스러워서 한마디 하겠는데,",[일반],"세상이 너희를 외면한 게 아니야.
너희가 먼저 세상을 외면했을 뿐이지.

해방을 욕해봤자 너희 현실은 변하지 않아.
그건 열등감에 휩싸인 자가 마지막으로 택하는 가장 추한 방식이니까.

웃기지 않아?
남을 깎아내리면, 그 밑에 있는 자신이 조금은 올라갈 줄 알았던 거야?

뭐, 이런 글을 익명으로라도 썼다는 건 용기겠지.
“스스로를 찌질하게 만들 용기.”

충고 하나 할게.
다음부턴 커뮤에 글 쓰지 말고, 상담센터에 예약 넣어.
진짜 문제는 해방이 아니라, 세상을 바라보는 너희 눈이니까.

충분히 알아들을 수 있도록 말한것 같으니 마지막으로 한마디만 더 한다.
열등감은 죄가 아니야. 하지만, 그걸 표현하는 방식은 품격을 말하지.",디갤러,추천 12,조회 561,2025.06.19 00:09:55,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4052&page=2
해방 병신맞다,[일반],야자시간에 철권처하노 ㅂㅅ들,ㅇㅇ,추천 5,조회 335,2025.06.18 22:43:15,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4051&page=2
진지) 해방 병신이냐?,[일반],"글 하나 썻다고 발작하는 것도 그렇고 그냥 병신 모임이냐?
천식 맞잖아 ㅋㅋ+",디갤러,추천 6,조회 576,2025.06.18 12:42:33,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4050&page=2
해방은 단체 천식 집단임?,[일반],"이새끼들은 틈만나면 열람실에서 기침하네
한번도 기침 안하는 꼴을 못봄 진짜 개시끄럽네 적당히해야지 사람이개념도없고상삭이없나교복도 안입고옷차
림도 좋같이 입고서는 밥처먹고 기침밖에 안하네 씨바
병원을 좀 쳐 가라 기침 그렇게 해댈거면 맨날 웹플냄새 웹플행동 어쩌구 허면서 지들은 땀내
쉰내 온갖 좆가튼 냄새 다나면서 내로남불 지리네 해방레기들",디갤러,추천 21,조회 877,2025.06.17 16:10:24,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4049&page=2
디미고 입학 관련,[질문],내신 200만점에 190점 정도이고 쌤이 정보쌤이라서이 추천서도 가능하데요. 갈 수 있나요 수학은 좀 망함...,디갤러,추천 1,조회 303,2025.06.17 09:42:05,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4048&page=2
베네듀 이제 사라졌냐?,[일반],졸업생인데 들어가 볼라니까 준호게이 피싱사이트 말고 안뜨노,디갤러,추천 1,조회 276,2025.06.16 18:55:57,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4047&page=2
디미고 지원하려고 하는데,[일반],"독서 20권 채우기 너무 귀찮다
20권 어찌채움?",디갤러,추천 0,조회 261,2025.06.15 23:32:43,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4046&page=2
디미고 가고싶은 중3인데,[일반],"129.7이면 못가나요

저 엔트리 개잘함",디갤러,추천 0,조회 465,2025.06.12 21:57:09,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4044&page=2
와이파이 애미 없네,[일반],시발,디갤러,추천 5,조회 278,2025.06.12 16:26:51,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4042&page=2
입학하고싶은데,[질문],"지금 성취도는 93~94고 임원이랑 독서랑 교내상 다 충족되는데 입학 가능할까요? 그리고 무슨 시험봐야한다는데 많이 어렵나요?

(+ 디미고에서 인서울 가능하나요??)",ㅇㅇ,추천 0,조회 310,2025.06.11 22:41:04,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4041&page=2
디미고 대신전해드립니다.,[일반],이 씨니ㅣㅣ발아 하지말라하면 하지마 아침자습때 니때매 공부 하다가 흐름 끊키고 뭐냐,디평,추천 15,조회 905,2025.06.10 10:51:22,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4040&page=2
깨갱맨 껨뭰꿰즐거웠다,[일반],껨뭰꿰 깨갱맨 선녀였노?.. 그립다,디갤러,추천 17,조회 637,2025.06.09 23:20:04,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4039&page=2
꼬우녁 공약 실화냐,[일반],디씨 일베 탄압하면 디미고에 남는게 있긴 하노?,ㅇㅇ,추천 12,조회 635,2025.06.09 22:27:39,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4038&page=2
겨울방학에 윈터스쿨 가셨던 선배님들 있으신가요?,[일반],고2입니다. 윈터를 가고은데 사탐이나 과탐 가르치는 윈터도 있을 것 같아서 어디 가야되는지 추천 부탁드림다.,디갤러,추천 1,조회 550,2025.06.07 22:44:33,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4036&page=2
ㅋㅋ 학생회장 공약,[일반],"대 째쫴맨이 공약으로 건 것들이다
창의력이 없다 발전해오거라",디갤러,추천 8,조회 603,2025.06.07 21:00:01,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4035&page=2
부럽다,[일반],"6모 보니깐 디미고 생각나네ㅋㅋ
면접때 보니깐 학생들 운동장에 동그랗게 앉아서 ㄹㅇ 낭만 고딩이던데 걍 아쉽다.. 나도 코딩 배우고싶었고 애들이랑 동기부여받으면서 공부하고싶었는데ㅠ 면접을 못봤나봄ㅇㅇ",디갤러,추천 6,조회 426,2025.06.06 16:56:32,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4034&page=2
개씨발 와이파이 개좆같네 그냥,[일반],아니 왜 또 지랄임 진짜 아오,디갤러,추천 9,조회 437,2025.06.05 07:17:24,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4033&page=2
나라 망했노,[일반],ㅅㅂ,디갤러,추천 8,조회 567,2025.06.03 20:26:14,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4032&page=2
학봉관 민원러,[일반],"아니 계속 민원 넣는 친규들 무냐
다벗는거 민원은 이해하겠는데
상의탈의까지는 남자끼리 가능하잖냐
어차피 다 보는 사이인데",디갤러,추천 23,조회 719,2025.06.02 23:24:39,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4031&page=3
중학교 3학년 질문,[일반],"안녕하세요 중학교 3학년이고 디미고 이비과 희망합니다
일반 전형으로 지원하고 싶은데 1차 132점이면 이비과 붙을 수 있을까요?",디갤러,추천 0,조회 437,2025.06.02 22:18:42,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4030&page=3
전학생,[일반],이번 고1전학생 몇명들어옴? 오기는함?,디갤러,추천 1,조회 450,2025.06.02 02:03:12,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4029&page=3
이거 글 쓰는 꼬락서니가 ㅅㅂ 딱봐도 우리 학교애인데,[일반],"정올+기숙학교+ㅇㅂ
예아",디갤러,추천 8,조회 740,2025.06.01 20:21:50,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4028&page=3
오늘 열람실,[일반],"롤쳐하면서 딸깍거리는 1학년 3학년선배한테 끌려나가더라 ㅋㅋ ㅂㅅ
- dc official App",디갤러,추천 16,조회 774,2025.05.31 22:27:00,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4027&page=3
학폭뭐노,[일반],그저 최악의 세대 23기,ㅇㅇ,추천 12,조회 1191,2025.05.28 09:05:50,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4023&page=3
"중도, 보수는 집결해야한다.",[일반],이준석을 나도 개인적으로 지지한다. 하지만 그 이유만으로 이준석을 소신껏이라는 명목하에 찍는 경우가 있다. 통계는 답을 알고 있다. 이준석은 이번대선에 절대로 될 일이 없으나 20프로 넘는 지지율 차이를 5프로 미만으로 줄인 김문수는 가능성이 있다. 이준석의 지지율 상승 폭만큼만 넘어가도 김문수는 당선된다. 통통통통 드럼통이 되는 거 보다 노땅 김바이든이 되는 것이..,디갤러,추천 3,조회 505,2025.05.27 21:21:06,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4022&page=3
136 초반인데 해방 붙은사람 있음?,[질문],좀 에반가,ㅇㅇ,추천 0,조회 447,2025.05.27 07:22:27,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4021&page=3
디미백과 왜 내려감?,[일반],디미백과 왜 내려감? 어떤 새키가 꼰지름?,디갤러,추천 0,조회 717,2025.05.26 19:48:01,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4019&page=3
디미고 ㅈ밥인듯,[일반],"특성화고라 기대했는데 정작 공부는 갓반고 미만잡이고
그렇다고 개발을 잘하는것도 아니고~ 
결국 백준 빠돌이들 뿐이노 ㅋ",7wf7,추천 9,조회 760,2025.05.26 17:59:27,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4018&page=3
물건 잃어버렸을 때,[일반],"자기가 직접 찾아가야지 왜 ㅅㅂ 물건 찾아준 사람한테 자기한테 오라 마라임?

가정교육을 뭘로 받은거냐",디갤러,추천 17,조회 559,2025.05.26 10:49:32,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4016&page=3
웹플 ㅅ발련들아,[일반],"마스크좀 처 쓰고다녀라 수두 다 처 옮기고 다니네 상식적으로 아프면 마스크를 써야하지않냐?
아프다고 자랑마냥 말하고 다니네 
웹플 니들밖에 수두안걸리는데 마스크좀 처 쓰고 다녀
반에서 뭔 지랄을 하길래 다 옮기는거야",디갤러,추천 7,조회 541,2025.05.26 09:04:19,https://gall.dcinside.com/mini/board/view/?id=dimigo&no=4015&page=3
