제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크
평경에 페미 준내 많다는대 팩트임?,,ㅇㅇ?,"평갤러(61.253) 2024.10.05 19:36:31
조회 217 추천 0 댓글 1",추천 0,조회 217,2024.10.05 19:36:31,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=146&page=1
개씨발진짜,,"그래음침하게 뒤에서 디씨하는건 좋아 나도 음지 좋아해
일베도환영인데 똥싸고 물안내리는건 도저히 용서할수가없다 시발 물좀내려개좆같은새끼들아 화장실변기 3개를 다막는건 무슨 개좆같은경우냐
- dc official App","서진원(223.38) 2024.09.20 16:15:51
조회 204 추천 1 댓글 1",추천 1,조회 204,2024.09.20 16:15:51,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=144&page=1
이런말 하긴 뭐하지만,,"현 3학년인데 진짜 학교에 고아 새끼들 편부모가정 새끼들 전라도 홍어새끼들 왜캐 많음?
그냥 공고새끼들이 우리과는 정상이네 외조과는 ㅄ이네 ai 새끼들 ㅈ병신이네 
서로 뒷담까는 새끼들이 다 남자새끼들임
그냥 학교자체가 거대한 한녀 그자체임 ㅇㅇ","ㅇㅇ(119.207) 2024.09.12 14:07:12
조회 211 추천 3 댓글 3",추천 3,조회 211,2024.09.12 14:07:12,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=140&page=1
텔레그램 누구냐? 솔직히말하자,,"08이라매
- dc official App","ㅇㅇ(118.235) 2024.09.01 02:18:35
조회 246 추천 0 댓글 1",추천 0,조회 246,2024.09.01 02:18:35,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=138&page=1
나 박진영인데,,요즘 왜케 깝사냐 다들 선배고 뭐고 우리 아빠앞에서 아무것도 못히면서 나대지말라,"평갤러(106.101) 2024.08.19 14:23:47
조회 191 추천 0 댓글 4",추천 0,조회 191,2024.08.19 14:23:47,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=137&page=1
cc깨짐ㅅ ㅍ,,다시 짝사랑을 시작하지,"짝사랑녀(211.36) 2024.07.21 21:10:44
조회 196 추천 0 댓글 3",추천 0,조회 196,2024.07.21 21:10:44,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=135&page=1
김은성 똥,,"나 김은성인데 똥마려우니까 오늘 하루 건들지마라
변비다","평갤러(182.225) 2024.07.19 15:26:00
조회 132 추천 0 댓글 1",추천 0,조회 132,2024.07.19 15:26:00,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=134&page=1
1학년대장 김은성,,나 김은성인데 나 화나면 무섭다 진짜 요즘 너네 다 ㅈ같으니까 나한테 말걸지마 막걸리,"평갤러(182.225) 2024.07.19 15:21:14
조회 124 추천 0 댓글 0",추천 0,조회 124,2024.07.19 15:21:14,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=133&page=1
아 급식이 보단 학식이가 나은듯 ㅋㅋ,,- dc official App,"ㅇㅇ(116.121) 2024.06.26 12:16:06
조회 110 추천 0 댓글 2",추천 0,조회 110,2024.06.26 12:16:06,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=131&page=1
아 종강 하니깐 할게 없네,,고딩들은 이제 시험 기간 이지? 힘내라 ㅋㅋㅋㅋㅋ,"oo(1.242) 2024.06.26 05:58:25
조회 86 추천 0 댓글 2",추천 0,조회 86,2024.06.26 05:58:25,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=130&page=1
국방부가 왜 여성징병제 안하는지 내가 평붕이들 한테 알려줄깨,,"지금 군대에서도 존나 사건 사고가 존나 나고 있슴 근데 국방부는 그걸 덮는대 급급함 예전부터 그랬고 앞으로도 그럴거임 왜냐 우리 남자들은 군대를 돌리는 부품에 불과하거든 지금 이게 왜 여성징병제를 안하는 이유냐고? 아 ㅋㅋ 시발 남자들끼리 있는 군대에서도 성폭행 사건이 일어나는대 거기 여자까지 껴봐 그럼 우리나라 사회에서 입김이 강한 여성단체들이 지랄 할거고 만약 그 성폭행 사건을 덮을려던 정황이 잡히면 진짜 좆되면 국방부 전채가 갈아 엎어질수도 있슴
그리고 국방부는 좋은 핑계가 있어 예산 부족을 들먹이면 머리아픈일 구지 할필요 없이 그냥 징집률만 높이면 되는 부분이거든 이거보는 06 07 08 애들아 지금 군대에도 부조리가 그대로 있다 그리고 팩트로 나도 그렇고 너내도 그렇고 군대에 잡혀 갈거야 힘들면 그냥 명령 불복종 하고 영창가라 지금 죽은 훈령병 처럼 억울하게 죽고 국방부에 응 느그자식 이런거 당하지 말고 그냥 영창을 가서 군생활더해 군생활보다 니 몸이 더 중요해 그리고 이 나라를 위해 목숨 걸지마라 그게 내 생각이다","평갤러(61.253) 2024.06.24 23:20:46
조회 95 추천 1 댓글 1",추천 1,조회 95,2024.06.24 23:20:46,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=129&page=1
작년에 진짜 이쁘고 섹시한 누나 있었는대 졸업해서 슬픔,,그누나만 보면 마음이 두근대고 다른대도 두근대고 진짜 미쳐버린는줄 알았다 그누나 정말보고 싶다 그리고 저 아래 일학년 일짱 저새낀 뭐냐,"06병신(61.253) 2024.06.24 00:17:55
조회 202 추천 0 댓글 1",추천 0,조회 202,2024.06.24 00:17:55,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=128&page=1
나 평경1학년 일짱인대 이제부터 1학년 만원씩 내라,,"ㅇㅇ
- dc official App","ㅇㅇ(116.121) 2024.06.20 10:36:30
조회 161 추천 0 댓글 3",추천 0,조회 161,2024.06.20 10:36:30,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=125&page=1
짝사랑 접음,,cc중,"짝사랑녀(117.111) 2024.06.19 16:16:54
조회 126 추천 0 댓글 3",추천 0,조회 126,2024.06.19 16:16:54,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=124&page=1
평경갤 왜 죽어가누?,,"기말 이라고 죽은거?
- dc official App","ㅇㅇ 2024.06.18 03:14:06
조회 148 추천 0 댓글 5",추천 0,조회 148,2024.06.18 03:14:06,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=122&page=1
평붕이들 나랑 카페 갈래?,,"프롬프트
a big-chested woman
네거티브
프롬프트
샘플링 DPM++ 2M Karras
스타일 None","ㅇㅇ(61.253) 2024.06.07 02:16:14
조회 116 추천 0 댓글 0",추천 0,조회 116,2024.06.07 02:16:14,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=120&page=1
아 꽁짜밥 부럽다,,나도 꽁짜밥 먹고 싶다 시이발,"ㅇㅇ(61.253) 2024.06.02 11:55:15
조회 106 추천 0 댓글 1",추천 0,조회 106,2024.06.02 11:55:15,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=119&page=1
근데 여기에 맞는말 써봤자 원숭이 잡아다 산수 가르치는 격인게,,얘넨 차피 대학교 나와봤자 나오리만 못하게 별 볼일 없는 인생 살거니까,"짝사랑녀(117.111) 2024.05.31 05:08:30
조회 204 추천 1 댓글 8",추천 1,조회 204,2024.05.31 05:08:30,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=116&page=1
ㄹㅇ 특성화고는 홍보물 규제좀 해야함,,"시발 중학교때 ㅈ같은 홍보물만 안뿌렸어도 특성화 안왔다
이새끼들은 뭔 홍보물을 북한 삐라마냥 존나게 뿌려대는데 하나같이 존나 좋은 직장 갈 수 있고
존나 좋은 대학 보내준단다
시발 진짜 그랬으면 대치맘들 벌서 특성화고 입시반 만들어서 초딩때부터 특성화고 보낼라고 안달이였겠지
근데 사실 그딴 홍보뭏보고 믿고온 지능가지고 일반고 갔어도 별 차이는 없었겠지만
지금 특성화고 고민하고 있는새끼들은 잘 봐라
세무사, 병역특례, 인서울 대학 갈수 있다는거?
특성화고 학생 만명중에 한두명 간걸 부풀려서 그딴식으로 얘기하는거다 
특성화고 진짜 현실은 개일찐 천에고아로 학교생활하다가 대리, 딸배, 알바, 백수 하거나
정신차리고 3년간 바닥 빌빌길면서 선생들한태 온갖욕 다 들어 쳐먹고 졸업해서 재수학원등록하고 지거국이나 가는게 가장 잘 풀린경우다
이거보고도 올거면 와라 사회는 지능낮은새끼들이 바닥을 깔아줘야 열심히하는 사람들이 빛나보이는거니까 ㅇㅇ","ㅇㅇ(119.207) 2024.05.28 16:51:08
조회 261 추천 3 댓글 4",추천 3,조회 261,2024.05.28 16:51:08,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=112&page=1
21세기에 특성화고 온 건 한마디로 천민이라고 할수 있다,,"특성화고 졸업장은 평생 별볼일 없는 노비 인생을 살아가야 한다 는 증표다.
남들은 인강도 김동욱, 현우진, 조정식 등 유명한 강사의 것들로 그냥 편하게, 빠르게 시청하지만
특성화고생은 그렇게 남들 다 듣는 인강조차 제대로 이해하지 못 할것이다.
특성화고에서 나름 열심히 공부했어도 인문계 고등학교에서 꼴통 짓을 하던 양아치들과 비슷한 수준일 것이며, 공부를 아예 안 했지만 인문계 고등학교 학생이었다는 이유만으 로 자기보다 훨씬 공부를 잘 하는 학생들을 보면서 항상 억울해할 것이다.
인문계 고등학교에서는 그냥 거기서 성실하게 공부 열심히만 하 면 자기의 실력대로 성적이 나오고, 학교에서 자신의 생기부 관리 를 도와주며, 자기의 성적대로 좋은 대학을 갈 수 있지만, 특성화고에서는 문제가 너무 쉽게 나와서 누가 실수 안해서 100 점 맞느냐로 등급을 결정할 뿐더러, 내신 1.8 맞아도 인하공전을 가는 등 차별을 심하게 당하고, 수시 철이 되어서 생기부를 뽑으 면 그 두께가 너무나도 얇을거다.인문계 고등학교에서의 공부는 수능에 직접적으로 반영되지만, 특성화고에서의 공부는 수능과 아무런 관련이 없다. 인문계 고등 학교에서의 공부는 분명 진짜 국어, 진짜 수학, 진짜 영어지만 특 성화고에서의 공부는 그냥 교사가 주는 답지 베끼기만 하는 가짜 국어영어수학이다. 남들은 고등학교 3년동안 지식의 확장이 됐겠 지만 특성화고생들은 고등학교 3년동안 지식을 비우기만 한 셈이 남들은 인문계 출신이라서 조금 놀면서 공부해도 내가 풀타임으 로 공부하는 것보다 능률이 잘 나올거라는 생각이 들면 항상 억울 하게 될거다. 분명히 인문계 고등학교만 갔어도 노력한만큼 대가 를 받고, 의지가 있는 학생들 사이에서 많은 좋은 정보와 좋은 생 기부를 얻을 수 있었을텐데, 왜 선택 잘못해서 천민신세를 못 면 하고 있는건가 싶을거다.
본인은 재수학원을 와서 인문계라는 이유만으로 온갖 혜택을 입 은데다가 머리속엔 각종 영어수학 기본지식으로 가득 차있는 여 러 사람을 보았다. 수업 또한 그런 학생들을 대상으로 하며, 그런 학생들이 수험생들의 대부분이라는 생각을 하게 되었다. 후회와 한탄만이 깃든다...
변명이라고? 잘 될 사람은 잘 된다고? 여기서 잘 하고 등급 잘 나오는 애들은 인문계에서도 잘 해서 훨 씬 더 좋은 대학 갔었을 애들밖에 없고, 그런 애들조차 여기 환경 에 물들어서 나락에 떨어진 상황을 한 두번 본게 아니다.
운 좋게 좋은 곳에 들어간 사람들은 있겠지. 평생 남들이 다 아는 미적분 공식, 영어능력같은건 하나도 갖추지 못한 채로...
조선시대 때도 운 좋게 왜구들 몇명 죽여서 면천되고 벼슬얻은 노 비들이 간간히 있었다. 근데 전체 노비들 중에서 얼마나 되었을거같나?  나는 분명 160 정도의 중학교 내신을 가졌음에도 특성화고를 선 택했다는 거 자체로 한번 실패했지만, 유명한 재수학원에 등록해 서 수능에 정진하면서 열심히 살고있다. 쓰레기같고 무익한 특성 화고 전공공부나 자격증같은 것과는 아무런 관련이 없이","짝사랑녀(211.36) 2024.05.26 15:12:05
조회 308 추천 2 댓글 2",추천 2,조회 308,2024.05.26 15:12:05,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=110&page=1
졸업생 인데,,"왜 벌써 졸업 한지 5개월 정도 됐냐 ㄷㄷ
너네가 왜 평경을 선택 했는지 모르겠지만 대학 진학 생각 있으면
최대한 등급 올려라 못해도 3등급은 받아야 평경에서 경기권 4년제 가던가
지방에서 이름 있는 대학 이거나 지방 국립대 정도는 들어갈 수 있다
수시 원서 쓸때 너네 수능 볼 생각 없으면 최저 없는데 원서 써서 하면 좋은데
작년 입결, 모집요강 잘 살펴서 특성화 나왔어도 일반전형 가능한곳 있으니깐
너무 특성화전형 으로만 안써도 되니깐","평갤러(211.206) 2024.05.26 09:44:42
조회 252 추천 0 댓글 8",추천 0,조회 252,2024.05.26 09:44:42,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=109&page=1
아 시발 응디 시티ㅜ응디 시티 응디 시티,,- dc official App,"ㅇㅇ(116.121) 2024.05.24 17:44:05
조회 90 추천 0 댓글 1",추천 0,조회 90,2024.05.24 17:44:05,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=108&page=1
선배 마라탕 사주세요,,"예아 안될거 뭐있노?

그럼 혹시 탕후루도?

절대 안된다","짝사랑녀(117.111) 2024.05.23 17:16:44
조회 101 추천 1 댓글 0",추천 1,조회 101,2024.05.23 17:16:44,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=107&page=1
08 개병신 같으면 개추,,"ㅇ
- dc official App","ㅇㅇ(211.246) 2024.05.15 13:23:00
조회 323 추천 6 댓글 2",추천 6,조회 323,2024.05.15 13:23:00,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=105&page=1
츄러스 맛있노 ㅋㅋㅋ,,"갸꿀
- dc official App","평갤러(61.77) 2024.05.03 08:57:06
조회 181 추천 0 댓글 2",추천 0,조회 181,2024.05.03 08:57:06,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=104&page=1
다들 갤질좀 하세요.,,저 심심합니다. 모락갤은 글 리젠 괜찮던데 평경만 이렇면 되겠나요,"짝사랑녀(117.111) 2024.05.01 16:08:59
조회 182 추천 0 댓글 4",추천 0,조회 182,2024.05.01 16:08:59,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=103&page=1
오토바이 타고 오는 애들아,,나도 좀 태워줘,"평갤러(106.101) 2024.04.23 02:43:58
조회 190 추천 0 댓글 1",추천 0,조회 190,2024.04.23 02:43:58,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=102&page=1
경영고ㅋㅋㅋㅋㅋㅈㄴ웃기노,,걍 공고라고 해 시바 있어보이려고 별지랄을 다하네,"ㅇㅇ(58.123) 2024.04.14 20:56:01
조회 365 추천 11 댓글 2",추천 11,조회 365,2024.04.14 20:56:01,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=101&page=1
나 사실 너싫어해,,만우절^^~~~~,"짝사랑녀(211.36) 2024.04.01 22:35:56
조회 126 추천 2 댓글 0",추천 2,조회 126,2024.04.01 22:35:56,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=100&page=1
평촌경영고 불합격하고 일반고가면 ㅁㅌㅊ?,,ㅁㅌㅊ?,".(223.39) 2024.04.01 09:23:52
조회 314 추천 0 댓글 2",추천 0,조회 314,2024.04.01 09:23:52,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=99&page=1
평붕이 게이들아 학교 열심히 가라 형인 엠티 간다 ㅋㅋ,,- dc official App,"ㅇㅇ(211.234) 2024.03.29 11:14:45
조회 145 추천 0 댓글 1",추천 0,조회 145,2024.03.29 11:14:45,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=98&page=1
이런 쓰레기 갗은 학교는 없어져야됩,,공부 잘하거나 이쁘게 생긷 학생만 이뻐하는 븅신들 씨발 ㅅ끼들이 씨발 어매 처뒤진 씨발현들나 개 ㅆ발 같은ㅆ발년0,"짝사랑녀(211.36) 2024.03.24 16:07:40
조회 410 추천 7 댓글 2",추천 7,조회 410,2024.03.24 16:07:40,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=95&page=1
섹스,,"ㅇ
- dc official App","ㅇㅇ(14.33) 2024.03.20 21:24:43
조회 211 추천 2 댓글 1",추천 2,조회 211,2024.03.20 21:24:43,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=94&page=1
본관 화장실 냄새 왜이럼??,,냄새 갸 좆같음ㅋㅋ,"평갤러(1.241) 2024.03.19 23:16:02
조회 194 추천 1 댓글 3",추천 1,조회 194,2024.03.19 23:16:02,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=93&page=1
안녕하세요,,구르트,"ㅇㅇ(106.101) 2024.03.11 20:15:00
조회 148 추천 0 댓글 2",추천 0,조회 148,2024.03.11 20:15:00,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=92&page=1
평경과 꼴통순위도 정립한다,,"1 외식조리



2. 관광, 미인



3. ai


4 회계, 스포츠


5 디자인

- dc official App","평갤러(39.7) 2024.03.10 23:48:27
조회 283 추천 4 댓글 0",추천 4,조회 283,2024.03.10 23:48:27,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=90&page=2
평경 과 티어 정립한다ㅇㅇ,,"스포츠, 회계













ai
외식,관광

디자인,미인
- dc official App","평갤러(39.7) 2024.03.10 15:19:46
조회 411 추천 3 댓글 6",추천 3,조회 411,2024.03.10 15:19:46,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=89&page=2
평촌 경영고 과 서열 순위 정리,,"그나마 정상 탑티어 학과
1.회계과
2.관광과 

오면 안돼는 쓰레기 학과
1.도제과

근데 번외로 내 마음속 1위인 학과
1.스마트과

댓글로 반박은 않 받음ㅋㅋ","짝사랑녀(211.36) 2024.03.08 22:34:09
조회 512 추천 3 댓글 3",추천 3,조회 512,2024.03.08 22:34:09,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=88&page=2
본인 짝사랑 고백한다,,"본인은 현재 졸업한 겔러이다 
저번에 이영광 사랑해 글 보고 용기내서 이글 작성해본다
ㅎㄴ이 라는 여자애가 있는대 외조과에서 유명한 여자애다
나 ㅎㄴ이 사랑한다 인스타 맞팔은 되어 있는대 연락하기 너무 무섭다ㅜ
ㅎㄴ이만 보면 심장이 두군된다","ㅎㄴ이 짝사랑남(61.253) 2024.03.04 22:57:27
조회 495 추천 26 댓글 4",추천 26,조회 495,2024.03.04 22:57:27,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=85&page=2
응애 올해 신입생인데요,,"평경 학교 괜찮나요?
- dc official App","평갤러(211.176) 2024.03.02 00:19:54
조회 324 추천 5 댓글 8",추천 5,조회 324,2024.03.02 00:19:54,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=84&page=2
나 평경 외조과 졸업생인데,,"여기 학교 완전 좋은데 안 좋다고 음해 하는것들은 뭐냐? 
비록 학년 끼리 패싸움 하고 교실 문 차고 도망가고 쓰레기 버리고 도망갔다는 그런 사소한 일이 있긴 했어도
그리고 내가 외조과인데 스마트과 애 어떻게 알았냐면
축제때 춤추는거 봤음 
프롬프트
Pretty, handsome, boy, girl, cute , <lora:animeLineartMangaLike_v30MangaLike:1.0>, lineart, monochrome,
네거티브
프롬프트
샘플링 DPM++ 2M Karras
스타일 None","짝사랑녀(211.36) 2024.02.24 23:23:26
조회 318 추천 2 댓글 3",추천 2,조회 318,2024.02.24 23:23:26,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=74&page=2
현재 졸업생이다 글을 너무 나쁘게만 쓴거 같아서 좋은점도 작성해본다,,"현재 졸업생이다 인증 해달라하면 가능하다
일단 특성화고에 장점을 최대한 살려라 학교 선생들 노력하는 학생한테는 최대한 노력 해준다 
니들 주변 애들이 논다고 놀지마라 다시한번 말하지만 여긴 특성화고다 그만큼 공부에 집중안하는애들이 많다 등급을 2등급3등급 때로 유지한다면 대학교 선택권이 넓어진다 ㅇㅇ
그리고 도제반을 갈거면 너가 대학을 포기 할정도로 그일이 좋은지 확인을 해봐라 1학년 이후에 니 생각 달라지면 후회한다
그리고 자격증 질문하면 열심히 알려주신다 
애들 정치질 심한건 팩트다 근데 알빠냐? 어차피 사회나가고 대학 가면 다시 얼굴볼 아이들도 아니다 
그리고 마지막으로 할말은 대학도 취업도 모르겠다 하면 공부랑 자격증 열심히 따라 그게 맞다 ㅇㅇ
프롬프트
Korean high school graduation ceremony,
네거티브
프롬프트
샘플링 DPM++ 2M Karras
스타일 None
- dc official App","ㅇㅇ(116.121) 2024.02.24 22:48:17
조회 236 추천 1 댓글 1",추천 1,조회 236,2024.02.24 22:48:17,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=72&page=2
평경 오는얘들은 들어라,,인생나락 축하하고 1학년 선생들 많이 ㅈ같다 ㅋㅋㅋㅋ,"과연그럴까 2024.02.23 11:24:19
조회 500 추천 6 댓글 0",추천 6,조회 500,2024.02.23 11:24:19,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=37&page=2
평경 들어가는 학생인데,,"저 ㅈㄴ 순수한데 평경 들어가면 나락가나요? ㅜㅜ
- dc official App","평갤러(218.147) 2024.02.23 01:18:27
조회 155 추천 0 댓글 1",추천 0,조회 155,2024.02.23 01:18:27,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=36&page=2
평경 들어갈 평붕이 게이들 필독해라,,"일단 난 현졸업생인대 하고 싶은 말 있어서 남긴다
일단 이쁜 여자애들은 너내들한테 관심이 없다
그리고 평경애들은 다 병신 들이니까 인맥관리 잘해라
평경 선생들은 정치 존나 심하고 지 똥꼬 빨아주는 학생있스면 존나 좋아한다
그리고 본관 1층 화장실은 사용하지 마라 앞에 장애인 교육 반 있어서 위생 그리고 눈갱 많이 당한다
그리고 꼭 대학가라 평경에 돈 주지 말고 대학가라 지잡이라도 가라 그게 니 인생에 도움이 될것이다 
여자애들 정치질 존나 심하다 나때는 정치질로 왕따 당하는 여자애들도 많이봤다
그리고 좆고아 평경에 담배피는 애새끼들 존나 많다
프롬프트
a student at Pyeongchon Management High School
네거티브
프롬프트
샘플링 DPM++ 2M Karras
스타일 None","ㅇㅇ(61.253) 2024.02.19 20:23:25
조회 303 추천 6 댓글 2",추천 6,조회 303,2024.02.19 20:23:25,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=35&page=2
남친구한다,,"ㅇㅇ
프롬프트
Boyfriend,
네거티브
프롬프트
샘플링 DPM++ 2M Karras
스타일 None
- dc official App","ㅇㅇ(223.38) 2024.02.10 19:38:12
조회 122 추천 0 댓글 0",추천 0,조회 122,2024.02.10 19:38:12,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=34&page=2
스마트과 이ㅇ광 사랑해,,"1학년5반때부터 쭉 지켜봐왔어 나도 너한테 액최괴물 고백해도 되니
비록 너가 2학년땐 6반 이라 같은반이 돼진못했지만
일년동안 같은반이여서 즐거웠고 삼학년땐 너 소식을 모르겠더라
졸업축하해","짝사랑녀(211.36) 2024.01.26 23:53:51
조회 353 추천 7 댓글 5",추천 7,조회 353,2024.01.26 23:53:51,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=33&page=2
다들 뭐하니?,,- dc official App,"평갤러(14.33) 2024.01.24 06:16:22
조회 53 추천 0 댓글 0",추천 0,조회 53,2024.01.24 06:16:22,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=31&page=2
학교 잘가라 게이들아,,"형은 안간다 ㅋㅋ
- dc official App","평갤러(116.121) 2023.10.04 07:59:25
조회 123 추천 0 댓글 1",추천 0,조회 123,2023.10.04 07:59:25,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=27&page=2
근데 평경겔 살해협박 올라와도 아무도 모를듯 ㅋㅋ,,"하는 사람 존나 없어서 모를듯
- dc official App","평갤러(211.234) 2023.09.12 07:45:11
조회 159 추천 0 댓글 1",추천 0,조회 159,2023.09.12 07:45:11,https://gall.dcinside.com/mgallery/board/view/?id=pcmhs&no=26&page=2
