제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크
내고추빨사람,,함 대줄게,"김*훈(180.81) 2024.04.12 10:15:23
조회 224 추천 0 댓글 0",추천 0,조회 224,2024.04.12 10:15:23,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=18&page=1
고추빨고싶다,,.,"신ㄱ(106.101) 2024.04.12 10:13:21
조회 184 추천 4 댓글 0",추천 4,조회 184,2024.04.12 10:13:21,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=17&page=1
ㅆㅂㅋㅋㅋㅋㅋㅋㅋ있노,,,"결혼할거라고 2024.03.03 20:06:24
조회 199 추천 0 댓글 0",추천 0,조회 199,2024.03.03 20:06:24,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=12&page=1
한기대 소개합니다,,한기대 추천합니다,"서갤러(119.67) 2024.02.25 18:56:47
조회 179 추천 0 댓글 0",추천 0,조회 179,2024.02.25 18:56:47,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=11&page=1
나 순자다,,ㅂㅈ 가렵네 ㅋㅋ 누가 쑤셔줄사람 ㅋㅋㅋ,"순자(222.236) 2023.08.09 07:04:49
조회 278 추천 0 댓글 0",추천 0,조회 278,2023.08.09 07:04:49,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=9&page=1
응니애미,,ㅋ,"ㅇㅇ(222.236) 2023.08.09 07:02:27
조회 225 추천 0 댓글 0",추천 0,조회 225,2023.08.09 07:02:27,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=7&page=1
기숙사에인터넷,,보안망이슈때문에 기숙사 랜선못쓰니까 학교에서 터지는 wi_cne_class_S 확장시켜서 쓰면 그거학생망이니까 괜찮은거맞겠지 뭐,"Wi-Fi 2023.07.05 22:49:58
조회 477 추천 0 댓글 0",추천 0,조회 477,2023.07.05 22:49:58,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=6&page=1
자동으로 개추가 눌리는 짤,,ㄴㅁㅊ,"ㅇㅇ(39.7) 2023.07.03 09:03:14
조회 518 추천 16 댓글 2",추천 16,조회 518,2023.07.03 09:03:14,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=5&page=1
서천고 1학년 수준,,수준,"진로(39.7) 2023.06.27 12:00:22
조회 710 추천 1 댓글 3",추천 1,조회 710,2023.06.27 12:00:22,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=4&page=1
이제,,여기로 1학년 안오냐?,"Alpha_Alf_Layla 2023.06.27 11:35:48
조회 262 추천 0 댓글 1",추천 0,조회 262,2023.06.27 11:35:48,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=3&page=1
나 서고 교장인데,,서여고 학생 맛있겠노,"이병준(223.39) 2023.06.27 10:02:11
조회 640 추천 9 댓글 3",추천 9,조회 640,2023.06.27 10:02:11,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=2&page=1
서천고 갤러리 시작,,자유,"서천고(175.203) 2023.06.27 00:04:37
조회 480 추천 0 댓글 2",추천 0,조회 480,2023.06.27 00:04:37,https://gall.dcinside.com/mgallery/board/view/?id=seoryong&no=1&page=1
