제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크
학거한,,학교 자체가 거대한 한녀임,"ㅇㅇ(106.101) 2024.10.29 14:55:51
조회 204 추천 4 댓글 1",추천 4,조회 204,2024.10.29 14:55:51,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=65&page=1
국제고 ㄹ황,,,"동갤러(211.114) 2024.10.16 20:04:19
조회 520 추천 0 댓글 0",추천 0,조회 520,2024.10.16 20:04:19,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=64&page=1
근데,,"왜 글 싸지말라고함?
싸면 어케되노","ㅇㅇ(106.101) 2024.10.16 20:01:21
조회 201 추천 0 댓글 1",추천 0,조회 201,2024.10.16 20:01:21,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=63&page=1
싸지 시원하게 한사바리 박을년 연락 꽂아라,,글싸지르기 ㄴㄴ 게이들아,"동갤러(211.114) 2024.10.10 15:06:04
조회 317 추천 1 댓글 0",추천 1,조회 317,2024.10.10 15:06:04,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=62&page=1
실시간 야붕이 ㅈ됐다,,"라면 먹다가 ㅇㅂ한테 걸림
이럼 선도가냐","동갤러(211.114) 2024.10.09 21:50:05
조회 338 추천 0 댓글 1",추천 0,조회 338,2024.10.09 21:50:05,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=61&page=1
선수입장,,동갤주 등장이다 반갑습니노,"동갤러(211.114) 2024.10.09 20:37:07
조회 191 추천 0 댓글 1",추천 0,조회 191,2024.10.09 20:37:07,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=60&page=1
동탄국제고 근황ㅇㅇ,,"못생긴 계집애들이 운동장에 처앉아서 예쁜척 사진찍음

뺨싸대기 마려움 ㅇㅈ?","동갤러(211.114) 2024.10.09 20:21:26
조회 676 추천 10 댓글 2",추천 10,조회 676,2024.10.09 20:21:26,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=59&page=1
수행하기 싫더,,ㅇㅈ?,"동갤러(211.114) 2024.10.09 20:18:39
조회 120 추천 0 댓글 0",추천 0,조회 120,2024.10.09 20:18:39,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=58&page=1
야 기분좋다,,추석 덕분에 시오후키보짓물 폭발함 ㅇㅇ,"ㅇㅇ(1.238) 2024.09.14 20:58:22
조회 218 추천 0 댓글 3",추천 0,조회 218,2024.09.14 20:58:22,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=57&page=1
갤 뒤졌노,,ㅇ,"동갤러(211.243) 2024.09.14 20:54:27
조회 152 추천 0 댓글 1",추천 0,조회 152,2024.09.14 20:54:27,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=56&page=1
옆 국제고인데,,니들 방송 나갔더라 ㅋ,"동갤러(168.126) 2024.09.12 16:34:02
조회 430 추천 0 댓글 1",추천 0,조회 430,2024.09.12 16:34:02,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=55&page=1
자지보지응디섹스기분좋다,,"예아
- dc official App","ㅇㅇ(106.101) 2024.07.19 19:55:52
조회 389 추천 4 댓글 1",추천 4,조회 389,2024.07.19 19:55:52,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=54&page=1
갤 살아있었노,,"ㅇ
- dc official App","동갤러(146.70) 2024.07.16 16:58:28
조회 114 추천 0 댓글 0",추천 0,조회 114,2024.07.16 16:58:28,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=53&page=1
근황이다,,ㅇㅇ,"동갤러(39.7) 2024.07.04 10:54:23
조회 285 추천 1 댓글 0",추천 1,조회 285,2024.07.04 10:54:23,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=52&page=1
지쿠터 타지마라,,ㅇㅇ,"동갤러(211.114) 2024.06.26 14:25:04
조회 456 추천 8 댓글 2",추천 8,조회 456,2024.06.26 14:25:04,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=50&page=1
노.,,...,"ㅇㅇ(1.238) 2024.03.03 23:39:21
조회 147 추천 1 댓글 1",추천 1,조회 147,2024.03.03 23:39:21,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=48&page=1
무.,,..,"ㅇㅇ(1.238) 2024.03.03 23:39:12
조회 42 추천 0 댓글 0",추천 0,조회 42,2024.03.03 23:39:12,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=47&page=1
현.,,.,"ㅇㅇ(1.238) 2024.03.03 23:39:02
조회 46 추천 0 댓글 0",추천 0,조회 46,2024.03.03 23:39:02,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=46&page=1
혹시,,"어느 대학 정도부터 '공부 잘했네?
라는 인식이 드시나요. '공부 진짜 잘
했네' 또는 '공부 나름 잘했네'가
아니라 그냥 딱'공부 잘했네' 이정도요
- dc official App","동갤러(112.167) 2024.02.26 18:22:48
조회 136 추천 0 댓글 0",추천 0,조회 136,2024.02.26 18:22:48,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=45&page=1
학교만 이쁜 구데기,,"ㄹㅇ
- dc official App","ㅇㅇ(218.50) 2024.01.04 18:10:47
조회 566 추천 3 댓글 1",추천 3,조회 566,2024.01.04 18:10:47,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=44&page=1
2023 한기대 취업률 80프로(중견이상 61프로),,https://www.joongang.co.kr/article/25218566#home,"짱구 2024.01.02 09:09:20
조회 159 추천 0 댓글 0",추천 0,조회 159,2024.01.02 09:09:20,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=43&page=1
ㅈㄴ 궁금한건데,,"일요일에는 왜 교복을 입고 다니는거임?
자부심 있음?","동갤러(220.88) 2023.08.27 21:40:59
조회 629 추천 6 댓글 1",추천 6,조회 629,2023.08.27 21:40:59,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=42&page=1
동국갤 활성화 가자,,"오늘 부터 입갤한다
댓글 달고 실베 가보자




없뎃디시콘 보기","스테판커리(211.114) 2023.08.16 13:26:38
조회 517 추천 3 댓글 3",추천 3,조회 517,2023.08.16 13:26:38,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=41&page=1
영어공부,,"안녕하세요.
동탄국제고학생 대상으로 영어에세이나 영어 과외 합니다
미국에서 아이비리그 다니는 학생이고 성의것 가르쳐 드립니다
관심있으신분 연락 부탁합니다","낸시(115.140) 2023.06.30 19:38:10
조회 429 추천 0 댓글 1",추천 0,조회 429,2023.06.30 19:38:10,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=40&page=1
동국 소식,,그래,"덕다카피바라(118.235) 2023.01.29 22:12:49
조회 648 추천 0 댓글 2",추천 0,조회 648,2023.01.29 22:12:49,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=38&page=1
동국고 전1,,이대 약대 맞음?,"미노(211.234) 2023.01.01 18:34:54
조회 481 추천 0 댓글 0",추천 0,조회 481,2023.01.01 18:34:54,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=37&page=1
안아줘요,,,"아니치르노 2022.12.02 04:57:23
조회 276 추천 0 댓글 0",추천 0,조회 276,2022.12.02 04:57:23,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=35&page=2
동탄국제고<----------이새끼 병신,,아니 어떻게 학교에 한녀가 남자의 세배 ㅋ,"동국고갤주(211.114) 2022.11.28 09:57:17
조회 1195 추천 17 댓글 1",추천 17,조회 1195,2022.11.28 09:57:17,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=33&page=2
동국 대숲 뭐냐,,뭐이리 불만들이 많노 ㅋㅋ,"123(119.204) 2022.11.12 23:27:02
조회 480 추천 1 댓글 0",추천 1,조회 480,2022.11.12 23:27:02,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=32&page=2
동국인들 모여보자 ㅋㅋ,,동붕이들 이거 보면 인스타 스토리에 올랴봐라 누가 이 글 보는지 본인 궁금함 ㅌㅋ,"동붕(39.125) 2022.11.12 19:16:29
조회 332 추천 1 댓글 0",추천 1,조회 332,2022.11.12 19:16:29,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=31&page=2
ㅁㅋㅇㄱ,,"흣! 우드득
아아 쉬바

흣! 우드득
존~나 fuxk shit

이거 이명박이가 벽돌안에 철판 넣은거 아닙니까?

흣! 우드득
아아 쉬바

흣! 우드득
존~나 so hard♡

이거 이명박이가 벽돌안에 철판 넣은거 아닙니까?

이거 이명박이 이명박이 이명박이가 
이거 이명박이 이명박이 이명박이가 

철판! 넣은거 아닙니까~
이거 철판! 넣은거 아닙니까~

이거 이명박이 이명박이 이명박이가 

철판! 넣은거 아닙니까~
철판 철판 철판
넣은거 아닙니까~?

아- 아↘ 아아 아- 아↘ 아➚?
아- 아↘ 아아 아- 아↘ 아➚?
아!
아- 아↘ 아아 아- 아↘ 아➚?
아- 아↘ 아아 아- 아↘ 아➚?
아!
아- 아↘ 아아 아- 아↘ 아➚?
아!

文

ㅈ 가  |  _||
文 ㅌ  L  ||

人生のネタバレ死ぬっぽいな
すべて理解して患った
無邪気に踊っていたかった人生","soli(211.114) 2022.09.13 22:52:33
조회 258 추천 0 댓글 1",추천 0,조회 258,2022.09.13 22:52:33,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=30&page=2
ㅇㅇ,,ㅇㅇ,"ㅇㅇ(211.114) 2022.08.26 09:16:45
조회 263 추천 0 댓글 0",추천 0,조회 263,2022.08.26 09:16:45,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=28&page=2
ㅂㅇㅈ 불호,,"ㅇㅈ?
얼굴에 비해 개나댐","ㅇㅇ(211.114) 2022.08.09 17:17:56
조회 589 추천 7 댓글 2",추천 7,조회 589,2022.08.09 17:17:56,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=27&page=2
동호공고 애들좀 길옥다 정호식 백건대,,ㆍ,"주나현(223.38) 2022.07.13 23:18:18
조회 174 추천 0 댓글 0",추천 0,조회 174,2022.07.13 23:18:18,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=25&page=2
이 갤은 과천외고가 지배하겠다.,,"ㅇㅇ
- dc official App","평촌 2022.06.30 18:39:27
조회 578 추천 1 댓글 2",추천 1,조회 578,2022.06.30 18:39:27,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=19&page=2
헤헷,,안대~,"ㅇㅇ(223.38) 2022.05.23 01:16:33
조회 249 추천 1 댓글 0",추천 1,조회 249,2022.05.23 01:16:33,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=18&page=2
동탄국제고 갤러리 폐쇄 기원 13일차,,ㅛ,"ㅇㅇ(223.38) 2022.05.18 07:49:55
조회 388 추천 0 댓글 1",추천 0,조회 388,2022.05.18 07:49:55,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=17&page=2
동탄국제고 갤러리 폐쇄 기원 12일차,,0,"ㅇㅇ(211.114) 2022.05.17 18:23:58
조회 80 추천 0 댓글 0",추천 0,조회 80,2022.05.17 18:23:58,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=16&page=2
동탄국제고 갤러리 폐쇄 기원 11일차,,.,"ㅇㅇ(1.242) 2022.05.15 19:22:37
조회 66 추천 1 댓글 0",추천 1,조회 66,2022.05.15 19:22:37,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=15&page=2
동탄국제고 갤러리 폐쇄 기원 10일차,,,"ㅇㅇ(1.242) 2022.05.15 14:47:59
조회 72 추천 1 댓글 0",추천 1,조회 72,2022.05.15 14:47:59,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=14&page=2
동탄국제고 갤러리 폐쇄 기원 9일차,,,"ㅇㅇ(1.242) 2022.05.15 14:07:28
조회 49 추천 1 댓글 0",추천 1,조회 49,2022.05.15 14:07:28,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=13&page=2
동탄국제고 갤러리 폐쇄 기원 8일차,,ㅗ,"ㅇㅇ(219.100) 2022.05.14 20:39:47
조회 49 추천 1 댓글 0",추천 1,조회 49,2022.05.14 20:39:47,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=12&page=2
동탄국제고 갤러리 폐쇄 기원 7일차,,안녕,"oo(45.66) 2022.05.14 12:42:06
조회 63 추천 1 댓글 0",추천 1,조회 63,2022.05.14 12:42:06,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=11&page=2
동탄국제고 갤러리 폐쇄 기원 6일차,,ㅇㅇ,"ㅇㅇ(1.242) 2022.05.14 10:32:43
조회 52 추천 1 댓글 0",추천 1,조회 52,2022.05.14 10:32:43,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=10&page=2
동탄국제고 갤러리 폐쇄 기원 5일차,,l,"ㅇㅇ(1.242) 2022.05.14 03:17:30
조회 58 추천 1 댓글 0",추천 1,조회 58,2022.05.14 03:17:30,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=9&page=2
동탄국제고 갤러리 폐쇄 기원 4일차,,,"ㅇㅇ(1.242) 2022.05.13 22:31:25
조회 65 추천 1 댓글 0",추천 1,조회 65,2022.05.13 22:31:25,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=8&page=2
동탄국제고 갤러리 폐쇄 기원 3일차,,ㅇㄱ,"ㅇㅇ(1.242) 2022.05.13 16:51:25
조회 62 추천 1 댓글 0",추천 1,조회 62,2022.05.13 16:51:25,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=7&page=2
동탄국제고 갤러리 폐쇄 기원 2일차,,,"ㅇㅇ(211.36) 2022.05.13 01:11:11
조회 127 추천 1 댓글 0",추천 1,조회 127,2022.05.13 01:11:11,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=6&page=2
동탄국제고 갤러리 폐쇄 기원 1일차,,,"ㅇㅇ(211.36) 2022.05.13 01:09:56
조회 258 추천 1 댓글 0",추천 1,조회 258,2022.05.13 01:09:56,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=5&page=2
아니,,홍보 안하냐,"ㅇㅇ 2022.05.12 16:23:59
조회 293 추천 0 댓글 0",추천 0,조회 293,2022.05.12 16:23:59,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=4&page=2
머하세요 진짜?,,완장님 일 안하세요?,"ㅇㅇ(211.114) 2022.05.12 14:34:34
조회 433 추천 0 댓글 0",추천 0,조회 433,2022.05.12 14:34:34,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=3&page=2
진짜 개빡치네,,"이딴 갤러리 뭐가 좋다고 만드는거냐
ㄹㅇ 어이가없네
이런거 만들 시간에 공부나 해라 ㅋㅋ
(ㅇㅎㄱ 저격아님)","무7멍멍이(211.114) 2022.05.12 13:56:30
조회 879 추천 5 댓글 3",추천 5,조회 879,2022.05.12 13:56:30,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=2&page=2
ㅎㅇ,,ㅇㅇ,"레티니 2022.05.12 13:44:51
조회 470 추천 0 댓글 1",추천 0,조회 470,2022.05.12 13:44:51,https://gall.dcinside.com/mgallery/board/view/?id=dghscommunity&no=1&page=2
