제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크
짱꼴라 아직있냐?,[졸업생],ㅎ,"동갤러(1.176) 2025.06.21 23:59:56
조회 281 추천 0 댓글 2",추천 0,조회 281,2025.06.21 23:59:56,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3506&page=1
ㅋㅋㅋㅋㅋㅋㅋㅋㅂㅅ들,[일반],"내신따기 힘드냐?

형은 천천고로 빠졌다 음음ㅋㅋ","동갤러(121.137) 2025.06.12 03:02:08
조회 232 추천 0 댓글 0",추천 0,조회 232,2025.06.12 03:02:08,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3504&page=1
1400,[일반],"1400원이 적은 돈임? 큰 돈임?
아무에게나 그냥 막 줄 수 있는 정도의 돈임?","동갤러(61.39) 2025.05.27 21:59:05
조회 345 추천 1 댓글 1",추천 1,조회 345,2025.05.27 21:59:05,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3502&page=1
븅신학교 1시간을 늦게 끝내고있노,[일반],ㅉ,"동갤러(106.101) 2025.05.23 16:28:50
조회 301 추천 3 댓글 0",추천 3,조회 301,2025.05.23 16:28:50,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3500&page=1
와 영어 사회는 뭐 문제를 노무현이 냈냐,[일반],등급컷 애미 ㅋㅋ,"동갤러(61.255) 2025.05.19 22:32:41
조회 325 추천 2 댓글 0",추천 2,조회 325,2025.05.19 22:32:41,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3499&page=1
2학년인데 시벌 진짜 언제 졸업하노,[일반],징징대서 미안한데 통합되서 계집련들 많이 보던 말던 학교 개좆같음 위치도 그렇고 등교할때마다 존나 절망적임,"동갤러(210.182) 2025.05.18 20:23:46
조회 306 추천 0 댓글 2",추천 0,조회 306,2025.05.18 20:23:46,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3498&page=1
누가 더 유명함 메시 머라이어 캐리,[일반],- dc official App,"디바(59.28) 2025.05.13 18:20:54
조회 216 추천 0 댓글 1",추천 0,조회 216,2025.05.13 18:20:54,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3497&page=1
동원고에 경찰 떴던데,[일반],씨이발 첫시험부터 중간고사에 좆 576번 박았는데 임신가능하냐?,"고소한다(112.168) 2025.05.02 19:05:34
조회 531 추천 2 댓글 0",추천 2,조회 531,2025.05.02 19:05:34,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3495&page=1
동원고 입결 나왔나여,[일반],ㅈㄱㄴ,"동갤러(104.28) 2025.04.26 18:49:29
조회 351 추천 0 댓글 0",추천 0,조회 351,2025.04.26 18:49:29,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3494&page=1
이재명 화이팅,[일반],이재명을 대통령으로,"동갤러(61.39) 2025.04.18 01:57:19
조회 228 추천 0 댓글 0",추천 0,조회 228,2025.04.18 01:57:19,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3492&page=1
동원고 술병,[일반],21번 버스 정류장 앞에서 술좀 마시지마라,"북딱북딱 흔들어라 이기(223.62) 2025.04.17 18:36:31
조회 506 추천 0 댓글 0",추천 0,조회 506,2025.04.17 18:36:31,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3491&page=1
명문 동원고 학생들은 이재명 대통령을 공식적으로 지지합니다.,[일반],이재명 화이팅,"동갤러(210.96) 2025.04.13 10:15:38
조회 439 추천 3 댓글 2",추천 3,조회 439,2025.04.13 10:15:38,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3490&page=1
동원고<<<<--------- 병신 학교면 개추,[일반],꼬우면 호매실고 찾아봐라 씨발련들아,"동갤러(222.99) 2025.04.09 22:10:20
조회 606 추천 13 댓글 1",추천 13,조회 606,2025.04.09 22:10:20,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3489&page=1
우흥,[일반],,"봉점하반 2025.04.09 19:47:36
조회 445 추천 6 댓글 0",추천 6,조회 445,2025.04.09 19:47:36,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3488&page=1
노짱 사진모음,[일반],"야~ 기분좋다~~
1
이미지 순서 ON

2

3

4

5

6

7

8

9

10

11

12

13

14

15

16

17

18

19

20
개추 누르라노ㅠㅠ","TOGA 2025.04.07 22:15:32
조회 408 추천 2 댓글 0",추천 2,조회 408,2025.04.07 22:15:32,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3486&page=1
저희 학교 이대로가면,[일반],을 벗고 정체를 공개해주세요~!,"TOGA 2025.04.07 22:12:51
조회 426 추천 4 댓글 0",추천 4,조회 426,2025.04.07 22:12:51,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3485&page=1
동동고 국어교과서 이게맞노?,[일반],보인다보여,"동갤러(211.180) 2025.04.04 08:29:04
조회 583 추천 0 댓글 2",추천 0,조회 583,2025.04.04 08:29:04,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3484&page=1
고1 노붕이 국어 3모풀다가 펑펑 울었다 이기,[일반],갑자기 훅 들어오시면...,"동갤러(211.180) 2025.03.27 07:46:11
조회 587 추천 2 댓글 1",추천 2,조회 587,2025.03.27 07:46:11,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3483&page=1
장순섭 이분은 그냥,[일반],신 그 자체 아니노?,"동갤러(121.136) 2025.03.19 22:15:22
조회 741 추천 0 댓글 1",추천 0,조회 741,2025.03.19 22:15:22,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3482&page=1
김기준 영어쌤<-----ㄹㅇ 게이노?,[일반],ㅇㅇ,"동갤러(106.101) 2025.03.18 10:05:26
조회 684 추천 0 댓글 2",추천 0,조회 684,2025.03.18 10:05:26,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3481&page=1
개 짭 동원은 꺼져라,[일반],경남 최고 명문 사학 동원고가 찐 동원이다,"동갤러(211.234) 2025.03.16 19:03:12
조회 400 추천 4 댓글 0",추천 4,조회 400,2025.03.16 19:03:12,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3480&page=1
선배님들 동원고 시리우스가 뭔가요?,[일반],1학년 동붕이입니다,"동갤러(180.224) 2025.03.16 01:03:00
조회 622 추천 5 댓글 1",추천 5,조회 622,2025.03.16 01:03:00,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3479&page=1
.,[일반],선배들 영재학급 들어가면 뭐가 좋아요?,"동갤러(211.114) 2025.03.13 16:56:36
조회 332 추천 0 댓글 1",추천 0,조회 332,2025.03.13 16:56:36,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3478&page=1
동원고 병신들아,[일반],"현직 고색고 재학중인데 여긴 크롬북 써도 됨 



동원고 왜갔노? ㅋㅋㅋㅋㅋㅋㅋㅋ","동갤러(211.180) 2025.03.13 09:57:21
조회 439 추천 1 댓글 0",추천 1,조회 439,2025.03.13 09:57:21,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3477&page=1
"만약 우리학교에 정신병,알콜중독 판정 받은 ""교직원""이 근무중이라면?",[일반],"지난 2월 10일 발생한 하늘이 사건을 다들 기억하실겁니다.
그로인해 언론이나, 인터넷에선 현역 교사들 정신감정을 받아야한다는 주장들이 많았지만 가결됐고,
이 주제에 대해서 애도하기도 잠시, 어제 가해자 신상이 공개됐습니다.
걷보기엔 누가봐도 평범한 교사입니다. 우리 주변에서 흔히 한 두명씩 있을 법한 얼굴입니다.
그렇다면 우리의 신분이 학생인 이상, 누구나 범죄의 대상이 될 수도 있단 애기입니다
심지어 여긴 사립이라 육체적, 정신적으로 문제가 있는 사람을 부정직하게 채용할 수도 있다는 의심이 들기도합니다
국가적인 차원에서 법으로 막을 수도 없습니다, 교사들 인권은 어쩌냐면서요,,, 우리 학생들은 생사가 달렸는데,,,
평소에는 멀쩡하게 수업을 하다가도, 돌변할 수 있는 의험성을 가진 질환입니다

이런 교직원이 우리 학교에도 있다면?
그것도 매일 같이 수업에 들어오고, 표면적으론 학생들에게 많은 존망을 받는,
학생들로 하여금 정서적인 교류를 유발하여 위험인지에 대한 경계, 경각심을 허물게하는 젊은 교사가 있다면??
여러분은 어떻게 대처하실겁니까?","동갤러(211.119) 2025.03.13 07:53:50
조회 506 추천 4 댓글 1",추천 4,조회 506,2025.03.13 07:53:50,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3476&page=1
여기는 지금부터 ‘영생고’ 갤러리임을 선포한다,[일반],자유 헌정 질서를 지키기 위해 이곳은 이제부터 영생고 갤러리임을 선포한다,"ㅇㅇ(119.71) 2025.03.12 00:36:57
조회 549 추천 7 댓글 3",추천 7,조회 549,2025.03.12 00:36:57,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3475&page=1
동우여고 3학년 7시 55분 등교 찐임?,[일반],"교장 씹 남페미노
동원3학년은 7시 40분 등교하라하고
3학년에 정상화선언해놓고
동우여고만 특혜 ㅈ나주노

매점이나 돌려내라","동갤러(58.124) 2025.03.10 23:10:35
조회 504 추천 1 댓글 0",추천 1,조회 504,2025.03.10 23:10:35,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3474&page=1
야 기분좋다~,[일반],- dc official App,"계몽령이기야(223.38) 2025.03.10 08:09:20
조회 367 추천 1 댓글 0",추천 1,조회 367,2025.03.10 08:09:20,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3473&page=1
25년도 1학년 입학생인데 선배님들께 여쭤볼게있습니다,[일반],"김제동쌤 어떤쌤인가요??
- dc official App","계몽령이기야(223.38) 2025.03.08 18:34:50
조회 666 추천 0 댓글 3",추천 0,조회 666,2025.03.08 18:34:50,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3471&page=1
여긴 이제부터 수성고 갤러리가 점령한다,[일반],썩 꺼져 이 MotherFucker 들아,"씨발련들아(210.113) 2025.03.04 23:22:36
조회 447 추천 4 댓글 1",추천 4,조회 447,2025.03.04 23:22:36,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3470&page=1
17년 2월 졸업생인데,[일반],아직 김종태 있음?,"동갤러(211.234) 2025.02.13 16:20:46
조회 626 추천 0 댓글 2",추천 0,조회 626,2025.02.13 16:20:46,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3466&page=1
체육대회,[일반],선배님들 작년에 체육대회 하셨나요?,"동갤러(106.101) 2025.01.31 14:09:47
조회 625 추천 0 댓글 1",추천 0,조회 625,2025.01.31 14:09:47,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3464&page=1
방 빼라,[일반],"올해부터 너넨 동원고 아니잖아 

여긴 이제 통영 동원고등학교 갤러리다","ㅇㅇ(223.39) 2025.01.29 19:09:40
조회 952 추천 11 댓글 4",추천 11,조회 952,2025.01.29 19:09:40,https://gall.dcinside.com/mgallery/board/view/?id=swdwgall&no=3463&page=1
