제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크
ㅎㅇ,,ㅎㅇ,"삼갤러(106.240) 2025.05.19 15:38:00
조회 110 추천 0 댓글 1",추천 0,조회 110,2025.05.19 15:38:00,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=466&page=1
꼭 봐라,,"도대체 반에서 애정행각 왜 하는거냐 

남한테 지들 하는 거 보여주는 걸 좋아하는거임?","삼갤러(211.234) 2025.05.15 17:39:49
조회 229 추천 10 댓글 1",추천 10,조회 229,2025.05.15 17:39:49,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=465&page=1
학생회 해채 안하냐,,줄을 존나게도 못 새워요 ㅋㅌ 하여간 돌아가는 꼴이 ㅋㅋ,"삼갤러(118.235) 2025.05.15 12:21:04
조회 157 추천 1 댓글 1",추천 1,조회 157,2025.05.15 12:21:04,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=464&page=1
삼공 학생회평 ㅋㅋ,,줄 하나 못 세우면 어카노,"삼갤러(140.248) 2025.05.13 13:02:31
조회 146 추천 2 댓글 0",추천 2,조회 146,2025.05.13 13:02:31,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=463&page=1
학생회 있는 이유가 뭐노,,일 개못하는데 ㅋㅋ,"삼갤러(211.36) 2025.05.13 12:57:44
조회 147 추천 2 댓글 1",추천 2,조회 147,2025.05.13 12:57:44,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=462&page=1
헤어져서 미련 ㅈㄴ남았는데 없애는법좀 (내공 100),,하 그립다 그리워,"삼갤러(121.167) 2025.04.06 20:43:09
조회 239 추천 0 댓글 6",추천 0,조회 239,2025.04.06 20:43:09,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=453&page=1
아,,아아아아아아아ㅏ아아아아아아아ㅏ아앙,"삼갤러(211.234) 2025.04.04 15:32:09
조회 97 추천 0 댓글 0",추천 0,조회 97,2025.04.04 15:32:09,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=450&page=1
꼭 봐라,,뭐하러 보냐,"삼갤러(211.234) 2025.03.28 10:02:45
조회 155 추천 2 댓글 0",추천 2,조회 155,2025.03.28 10:02:45,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=449&page=1
실시간 야붕이 현시각 김동수 발견,,발견했다 총동문회실 앞으로 와라,"삼갤러(118.235) 2025.03.26 13:33:18
조회 212 추천 0 댓글 1",추천 0,조회 212,2025.03.26 13:33:18,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=447&page=1
"삼붕이들... ""이거""알고있었냐",,"우리 원래 월요일날 자율하는거 원래 정식 수업시간 아님 ㅋㅋㅋ
교장이 강제로 시키는거 ㅋㅋㅋ
- dc official App","삼갤러(211.234) 2025.03.25 08:27:50
조회 168 추천 2 댓글 0",추천 2,조회 168,2025.03.25 08:27:50,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=446&page=1
여기 삼일공고에서 제일 축구잘하는 과가 어디임??,,자신있는 과는 개추와 댓글 ^*^,"삼갤러(118.235) 2025.03.24 11:47:22
조회 215 추천 1 댓글 2",추천 1,조회 215,2025.03.24 11:47:22,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=445&page=1
금일 7시 40분 900번 버스에서 디시본샊이 나와라,,"내가 옆자린데 디시를 보노 ㅋㅋㅋㅋ
- dc official App","삼갤러(211.234) 2025.03.24 08:20:45
조회 159 추천 1 댓글 2",추천 1,조회 159,2025.03.24 08:20:45,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=444&page=1
아니 바뀐 교장 어떰?,,바뀐 교장 어떰?,"삼갤러(211.234) 2025.03.21 12:00:11
조회 201 추천 4 댓글 1",추천 4,조회 201,2025.03.21 12:00:11,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=443&page=1
기계과 현주소 ㅋㅋ,,"어캐 야자 탑클래스반에 기계과 출신이 한마리도 안보이노ㅋ
인재가 그렇게 없냐 ㅋㅋ","삼갤러(118.235) 2025.03.13 17:30:25
조회 199 추천 3 댓글 2",추천 3,조회 199,2025.03.13 17:30:25,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=440&page=1
전기과 명조 비틱했다. ㅋ,,앙 기모찌 ㅋ,"ㅇㅇ(58.78) 2025.02.02 02:50:17
조회 281 추천 0 댓글 5",추천 0,조회 281,2025.02.02 02:50:17,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=437&page=1
3일 비상계엄인데 3일만 휴교하자,,- dc official App,"ㅇㅇ 2024.12.03 23:24:08
조회 218 추천 1 댓글 2",추천 1,조회 218,2024.12.03 23:24:08,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=434&page=1
기계과 현실수준 어떳노,,댓글 ㄱ,"ㅇㅇ(106.101) 2024.11.12 16:41:29
조회 250 추천 1 댓글 0",추천 1,조회 250,2024.11.12 16:41:29,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=433&page=1
삼일고 갈까,,삼일고 갈까하는 중3인데 삼일고 진짜 좋나요,"ㅇㅇ(39.123) 2024.10.16 22:51:45
조회 357 추천 0 댓글 1",추천 0,조회 357,2024.10.16 22:51:45,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=431&page=1
여기 포함하여 다른학교 갤러리들까지 분탕치는 김명준이라는 애는 사칭임,,예전에 여기를 포함하여 다른학교 갤러리들까지 분탕일으키고 이상한 글 올리면서 삭제하고 튀었던 사람중에 김명준이라는 이름이 가끔 보이던데 진짜 김명준이라는 사람이 한 짓이 아니라 사칭이 한 짓입니다. 실제로 김명준이라는 사람은 디시를 하는 사람이 아닙니다. 김명준이라는 이름으로 된 글과 댓글들은 전부 사칭입니다.,"삼갤러(118.235) 2024.08.31 14:24:55
조회 267 추천 1 댓글 1",추천 1,조회 267,2024.08.31 14:24:55,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=429&page=1
팔 안저리게 자는법,,"책상에서 잘때마다 팔저려 뒤질것같아서 학교 존나 때리고 싶은데 팔 안자리게 자는법 있냐.
- dc official App","삼갤러(218.155) 2024.08.28 02:37:23
조회 308 추천 1 댓글 0",추천 1,조회 308,2024.08.28 02:37:23,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=428&page=1
이 씹새기들은,,방학 때 쳐부르고 밥도 안 주네,"삼갤러(106.240) 2024.08.12 09:39:03
조회 358 추천 4 댓글 0",추천 4,조회 358,2024.08.12 09:39:03,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=426&page=1
삼일고에 걸레있음,,"3학년 재학하는애들중에 걸레있음 맨날 보니까
삼일상고 도서실있는 벤치에서 서성이던데
궁금하면 한번씩 보셈 ㅋ","삼갤러(121.137) 2024.07.11 21:29:54
조회 1024 추천 2 댓글 0",추천 2,조회 1024,2024.07.11 21:29:54,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=423&page=1
김동수 개좆같으면 개추,,일단 나부터 ㅋㅋ,"삼갤러(106.101) 2024.07.08 13:45:17
조회 589 추천 16 댓글 1",추천 16,조회 589,2024.07.08 13:45:17,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=421&page=1
삼붕이 기말 조졌다,,"전공 B맞음
- dc official App","ㅇㅇ 2024.07.05 13:31:32
조회 247 추천 0 댓글 0",추천 0,조회 247,2024.07.05 13:31:32,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=420&page=1
전자과 새끼들 왤케 싸가지가 없냐,,"선생님 씹으면서 다니는 것도 그렇고 맘에 안 드네
전자과 애들 다 담배핀다던데
소지품 검사나 당했으면 좋겠노","삼갤러(106.240) 2024.06.25 20:13:02
조회 581 추천 7 댓글 2",추천 7,조회 581,2024.06.25 20:13:02,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=419&page=1
생존근육으로 언더아머 입는 새끼들은 뭐냐,,"팔뚝 보이지도 않는데 어거지로 껴 입는거 패죽이고 싶네 ㄹㅇ
뚱녀 종아리두께보다 얆은데","삼갤러(211.114) 2024.06.21 13:52:35
조회 318 추천 5 댓글 1",추천 5,조회 318,2024.06.21 13:52:35,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=417&page=1
반갑노 게이들아 ㅋㅋ,,ㅗ,"삼갤러(211.114) 2024.06.08 13:13:01
조회 175 추천 0 댓글 0",추천 0,조회 175,2024.06.08 13:13:01,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=416&page=1
삼일고에서 본 삼공의 축구,,"사물이 기계 4ㄷ0로 잡았다던데

반도체 줫밥새키들은 얼마나 털릴지 기대되노

이번에도 털리면 운동장에서 축구한다고 나대지마라 ㅋㅋㅋ","삼갤러(14.56) 2024.06.07 21:35:33
조회 513 추천 8 댓글 0",추천 8,조회 513,2024.06.07 21:35:33,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=415&page=1
1학년 애들아 안 늦었다 지금이라도 자퇴해라,,나중에 후회하지 말고 ㅋ,"삼갤러(106.240) 2024.06.03 14:54:02
조회 303 추천 0 댓글 0",추천 0,조회 303,2024.06.03 14:54:02,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=414&page=1
1학년 기계과 일짱이다,,담뱃불 붙여봐라 ㅋ,"삼갤러(218.55) 2024.05.29 02:40:17
조회 205 추천 2 댓글 0",추천 2,조회 205,2024.05.29 02:40:17,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=413&page=1
아 tlqkf 동수형 이건 아니지..w같은 학교,,체육대회 찬성안한 ㅈ찐따형들은 한강위로 달려가줘,"삼갤러(211.114) 2024.05.13 20:39:33
조회 526 추천 9 댓글 1",추천 9,조회 526,2024.05.13 20:39:33,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=412&page=1
삼공 vs 삼상,,전쟁하면 누가 이기냐?,"삼갤러(211.114) 2024.03.22 14:55:47
조회 479 추천 6 댓글 0",추천 6,조회 479,2024.03.22 14:55:47,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=405&page=1
콜라보,,"킹갓똥수형과 뇌쎅남 전기과 둘이서 똥싸는게
ㄹㅇ 개환장하겟노
- dc official App","삼갤러(211.114) 2024.03.12 15:37:21
조회 186 추천 3 댓글 0",추천 3,조회 186,2024.03.12 15:37:21,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=404&page=1
전기과 한남들 진짜,,"하..이새키들은 이동수업에 의미를 모르나
진짜 삼일한 마렵네","삼갤러(211.114) 2024.03.12 15:26:29
조회 550 추천 5 댓글 1",추천 5,조회 550,2024.03.12 15:26:29,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=403&page=1
전기과 ㅅㅂ,,이동수업인데 이동수업 뜻을 모르냐 시발 나도 전기과 수업 듣고 싶다고,"삼갤러(211.114) 2024.03.12 15:24:22
조회 272 추천 4 댓글 1",추천 4,조회 272,2024.03.12 15:24:22,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=402&page=1
삼일공고 후회되면 개추 ㅋㅋ,,내가 여기 왜 왔냐,"삼갤러(106.240) 2024.03.11 14:02:48
조회 563 추천 18 댓글 1",추천 18,조회 563,2024.03.11 14:02:48,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=401&page=2
올해 삼일공고 입학생인데,,"홍보부 하고싶은데 홍보부 ㄱㅊ나?
기강 빡세게 잡는다던데 홍보부나 출신 엉아들 알려줭
- dc official App","ㅇㅇ(118.235) 2024.02.22 14:26:44
조회 425 추천 2 댓글 1",추천 2,조회 425,2024.02.22 14:26:44,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=399&page=2
단축수업 있냐???,,"없다 씨발!
- dc official App","삼갤러(211.114) 2023.12.01 08:40:22
조회 203 추천 1 댓글 0",추천 1,조회 203,2023.12.01 08:40:22,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=397&page=2
나 전기관데,,"맞짱뜰새끼?
- dc official App","현배 2023.11.30 23:58:08
조회 363 추천 1 댓글 3",추천 1,조회 363,2023.11.30 23:58:08,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=396&page=2
기계과 글 쓴 애 너 누구냐..,,"누구냐 너
- dc official App","삼갤러(106.101) 2023.11.28 23:27:21
조회 345 추천 2 댓글 3",추천 2,조회 345,2023.11.28 23:27:21,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=395&page=2
나 갤준데 개추좀,,ㅇㅇ,"김동수(84.16) 2023.11.25 22:08:13
조회 532 추천 19 댓글 0",추천 19,조회 532,2023.11.25 22:08:13,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=390&page=2
이번 역은...,,"이번역은 동수 동수 역입니다 내리실문은 없습니다

(실제로 가봤더니 뭐 없더라)","삼갤러(112.148) 2023.11.16 19:22:02
조회 308 추천 2 댓글 0",추천 2,조회 308,2023.11.16 19:22:02,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=382&page=2
ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ,,ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ,"ㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ(211.114) 2023.10.23 12:23:32
조회 151 추천 0 댓글 0",추천 0,조회 151,2023.10.23 12:23:32,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=379&page=2
긴급속보,,실시간 똥수형 지지율5500000000000%  상승,"동갓수신(218.155) 2023.10.21 21:38:26
조회 327 추천 3 댓글 1",추천 3,조회 327,2023.10.21 21:38:26,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=378&page=2
쓰레기통,,"버즈 잃어버린 게이


H동 와서 동수형~ 외치면 돌려줌","뻣쯔(118.235) 2023.10.21 21:36:51
조회 177 추천 2 댓글 0",추천 2,조회 177,2023.10.21 21:36:51,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=377&page=2
동수형..,,동수오빠랑 사귀고싶다,"김태원.(211.114) 2023.10.21 12:29:24
조회 274 추천 2 댓글 1",추천 2,조회 274,2023.10.21 12:29:24,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=376&page=2
진짜 4시간을 떠드네..,,저것도 능력이다,"삼갤러(211.114) 2023.10.18 19:22:45
조회 284 추천 3 댓글 0",추천 3,조회 284,2023.10.18 19:22:45,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=374&page=2
교장선생님 말씀중,,"북한과 전쟁한다면 100전 100패... 라고 말씀하신 것을 듣고 우리나라의 국력이 약하다는 것을 느낍니다.
북한은 정말 전쟁머신이 아닐까요?
다른 나랍보다 짧은 우리나라 군복무 기간을 5년으로 늘려야 됩니다!!
교장 선생님 화이팅 입니다!","삼갤러(211.114) 2023.10.18 17:04:33
조회 507 추천 8 댓글 1",추천 8,조회 507,2023.10.18 17:04:33,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=373&page=2
그동안 감사했습니다,,김동수 교장선생님 얼마 안남은 임기 그동안 감사했습니다.,"삼갤러(211.114) 2023.10.18 16:40:19
조회 280 추천 4 댓글 2",추천 4,조회 280,2023.10.18 16:40:19,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=372&page=2
4시간 듣는거 ㄹㅇ 개빡세네,,동수 진짜,"삼갤러(211.114) 2023.10.18 14:06:57
조회 221 추천 3 댓글 0",추천 3,조회 221,2023.10.18 14:06:57,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=371&page=2
화공과,,화공과 지하실.. 동수 잠들다..,"OO(211.114) 2023.10.12 15:50:15
조회 230 추천 0 댓글 0",추천 0,조회 230,2023.10.12 15:50:15,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=370&page=2
삼공 올 게이들 사물과 와라,,"이번에 왔는데 실습실 ㅈ된다 ㄹㅇ
- dc official App","삼갤러(118.235) 2023.10.11 19:24:27
조회 573 추천 9 댓글 3",추천 9,조회 573,2023.10.11 19:24:27,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=369&page=2
TLQKF,,구도윤ㅅ발,"OO(211.114) 2023.10.11 14:32:48
조회 191 추천 1 댓글 0",추천 1,조회 191,2023.10.11 14:32:48,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=368&page=2
아니 10월 21일에 학교축제 가는거 어케 생각함???,,솔직히 난 개 ㅈ같거든? 너희들의 생각도 적어줘~~ 난 정말 궁금해서 물어보는거임 ㅋㅋ,"삼붕이(121.136) 2023.10.09 23:40:42
조회 438 추천 19 댓글 4",추천 19,조회 438,2023.10.09 23:40:42,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=367&page=2
일단 감자 자체는 굉장히 맛있습닏ㄷ 응! 아있!,,"https://www.youtube.com/watch?v=-gEZsVbp
  - YouTube
- YouTube
www.youtube.com","삼갤러(211.114) 2023.09.07 19:40:06
조회 193 추천 0 댓글 1",추천 0,조회 193,2023.09.07 19:40:06,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=363&page=2
뭐야 기계과 없어짐?,,왜 내년부터 로봇설계과됨?,"삼갤러(221.147) 2023.08.21 17:15:31
조회 223 추천 0 댓글 0",추천 0,조회 223,2023.08.21 17:15:31,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=362&page=2
화공과 교과서 뭐임?,,전학 하려하는데 교과서 뭔지 알려줄수 있음?,"ㅇㅇ(119.70) 2023.08.20 00:11:35
조회 319 추천 1 댓글 3",추천 1,조회 319,2023.08.20 00:11:35,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=361&page=2
니네 공고 뭐하냐ㅋㅋㅋ,,"우린 예배하는데ㅋㅋㅋㅋ 예아~ 딱좋노~~
- dc official App","ㅇㅇ(211.36) 2023.06.21 14:27:36
조회 379 추천 0 댓글 1",추천 0,조회 379,2023.06.21 14:27:36,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=359&page=2
비오는데 화재대피 훈련을 하노,,"이게 맞냐 ㄹㅇ
- dc official App","ㅇㅇ(118.235) 2023.06.21 14:07:11
조회 284 추천 1 댓글 1",추천 1,조회 284,2023.06.21 14:07:11,https://gall.dcinside.com/mgallery/board/view/?id=samilth&no=358&page=2
