제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크
ㅇㅇㅇㅇㅇ,,ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㄱㅊㅇ,"정어계 2025.05.18 12:18:44
조회 28 추천 0 댓글 0",추천 0,조회 28,2025.05.18 12:18:44,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=272&page=1
자위 장소 추천받는다,,"현무(222.101)
이장애시발새끼는 나랑 자위로 붙자","현무입니다 2025.05.18 10:30:16
조회 98 추천 0 댓글 1",추천 0,조회 98,2025.05.18 10:30:16,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=271&page=1
현무님이랑 사귀고 싶으시다고요?,,욕망을 절제하세요~,"욕망을절제하셔야합니다~ 2025.05.17 21:01:35
조회 45 추천 0 댓글 0",추천 0,조회 45,2025.05.17 21:01:35,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=270&page=1
현무님사랑사겨요,,- dc official App,"광갤러(180.70) 2025.05.17 20:54:39
조회 44 추천 0 댓글 0",추천 0,조회 44,2025.05.17 20:54:39,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=269&page=1
하아아앙,,,"하으읏(210.120) 2025.05.16 15:22:44
조회 56 추천 0 댓글 0",추천 0,조회 56,2025.05.16 15:22:44,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=266&page=1
ㄱㅊ,,ㅇ,"정어계 2025.05.13 18:13:06
조회 37 추천 0 댓글 0",추천 0,조회 37,2025.05.13 18:13:06,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=265&page=1
예쁜 누나랑 할복하면서 놀고싶다,,거기야 누나!,"정어계 2025.05.11 20:55:36
조회 47 추천 0 댓글 0",추천 0,조회 47,2025.05.11 20:55:36,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=263&page=1
수업시간에 몰래 같이 할복ㅈㅏ우ㅣ,,서로 배를 갈라 서로의 내장을 만지작 만지작 아앙♡,"정어계 2025.05.11 19:35:51
조회 38 추천 0 댓글 0",추천 0,조회 38,2025.05.11 19:35:51,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=262&page=1
스파게티엔 레몬티,,후식으론 초콜릿,"정어계 2025.05.11 19:32:07
조회 20 추천 0 댓글 0",추천 0,조회 20,2025.05.11 19:32:07,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=261&page=1
외박할걸,,귀찮아서 안나갔는데 집가고싶네,"광갤러(210.120) 2025.05.08 22:34:20
조회 30 추천 0 댓글 0",추천 0,조회 30,2025.05.08 22:34:20,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=260&page=1
사람이 진짜 개피곤할때,,기숙사 돌아가면서 빨리 사감쌤 보고싶다고 생각함,"정어계 2025.05.08 22:30:18
조회 53 추천 0 댓글 2",추천 0,조회 53,2025.05.08 22:30:18,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=259&page=1
할복자살 미소년,,학교 화장실에서 발견,"정어계 2025.05.08 08:07:22
조회 26 추천 0 댓글 0",추천 0,조회 26,2025.05.08 08:07:22,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=258&page=1
ㅇㅇ,,,"정어계 2025.05.08 07:28:14
조회 38 추천 0 댓글 0",추천 0,조회 38,2025.05.08 07:28:14,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=257&page=1
방광 안에 있는거 꿀꺽,,꿀꺽꺽 꾸울꺼억,"정어계 2025.05.08 07:23:28
조회 44 추천 0 댓글 0",추천 0,조회 44,2025.05.08 07:23:28,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=256&page=1
하루 세딸치는 광갤러인데,,"딸 못치니까 죽을맛이라
걍 룸메몰래치고있음
늦잠쌉가능이라 나가긴 싫어서 룸메 몰헤으응","광갤러(210.120) 2025.05.07 22:52:54
조회 53 추천 0 댓글 0",추천 0,조회 53,2025.05.07 22:52:54,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=255&page=1
시체유기,,♡♡♡♡♡♡,"정어계 2025.05.06 19:41:17
조회 29 추천 0 댓글 0",추천 0,조회 29,2025.05.06 19:41:17,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=253&page=1
학교가기싫은데,,학교가고싶다,"혜류 2025.05.04 21:09:47
조회 35 추천 0 댓글 0",추천 0,조회 35,2025.05.04 21:09:47,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=252&page=1
린쨩 초카와이,,카와이이이이이이,"정어계 2025.05.01 22:40:58
조회 42 추천 0 댓글 0",추천 0,조회 42,2025.05.01 22:40:58,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=251&page=1
할복이 너무 좋다,,끼에에에에에에에에에에엑,"정어계 2025.05.01 22:39:50
조회 32 추천 0 댓글 0",추천 0,조회 32,2025.05.01 22:39:50,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=250&page=1
숲속에서 할복하고 죽어가는 아이를 떠올려라,,그리고 발기해라,"정어계 2025.05.01 08:36:02
조회 30 추천 0 댓글 0",추천 0,조회 30,2025.05.01 08:36:02,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=249&page=1
아침 할복 실금 배변 구토 내장 피 그리고 시체,,꼴,"정어계 2025.05.01 08:08:57
조회 33 추천 0 댓글 0",추천 0,조회 33,2025.05.01 08:08:57,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=248&page=1
미소년 할복하고 교량 밑에 시체유기 하고싶어,,,"정어계 2025.04.30 22:14:25
조회 63 추천 0 댓글 1",추천 0,조회 63,2025.04.30 22:14:25,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=247&page=1
우리 학교 갤도 있구나..,,"오늘 학교 축제 개에바인데
진행하자고 한 사람 죽었으면 좋겠우요 :)","혜류 2025.04.30 15:24:46
조회 66 추천 0 댓글 0",추천 0,조회 66,2025.04.30 15:24:46,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=246&page=1
할복 존꼴,,ㅇㅇ,"정어계 2025.04.29 23:07:33
조회 37 추천 0 댓글 0",추천 0,조회 37,2025.04.29 23:07:33,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=245&page=1
ㅋㅋㅋ,,,"광갤러(222.101) 2025.04.29 18:31:40
조회 46 추천 0 댓글 0",추천 0,조회 46,2025.04.29 18:31:40,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=241&page=1
09년생들 가정교육 못 받은 티가남,,ㅇㅇ,"광갤러(210.120) 2025.04.29 14:53:26
조회 109 추천 0 댓글 3",추천 0,조회 109,2025.04.29 14:53:26,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=240&page=1
누가 더 유명함 디카프리오 호날두,,- dc official App,"디바(59.28) 2025.04.29 14:35:08
조회 50 추천 0 댓글 2",추천 0,조회 50,2025.04.29 14:35:08,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=239&page=1
진짜 음란하다,,"학교에서 강요하는 오줌참기, 소변검사 ㅗㅜㅑ","정어계 2025.04.29 08:22:40
조회 104 추천 0 댓글 0",추천 0,조회 104,2025.04.29 08:22:40,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=238&page=1
기숙사 1학년 싸가지 없다,,선배한테 말하는 꼬라지가,"정어계 2025.04.29 07:32:07
조회 68 추천 0 댓글 0",추천 0,조회 68,2025.04.29 07:32:07,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=237&page=1
미소녀 할복하고 싶다,,"내장 따뜻할때 끌어안아야함
실금하면 몸에 묻히고 싶고","정어계 2025.04.28 22:51:57
조회 36 추천 0 댓글 0",추천 0,조회 36,2025.04.28 22:51:57,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=236&page=1
밥먹는중,,할복 할 생각뿐,"정어계 2025.04.28 16:44:29
조회 38 추천 0 댓글 0",추천 0,조회 38,2025.04.28 16:44:29,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=234&page=1
글댓합 100이 자랑인가요?,,"더 짜치네요
자중하시길 바랍니다~","욕망을절제하셔야합니다~ 2025.04.28 15:56:50
조회 46 추천 0 댓글 0",추천 0,조회 46,2025.04.28 15:56:50,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=233&page=1
소변검사 개꼴,,내 오줌을 남에게 보여주는건가,"정어계 2025.04.28 08:29:44
조회 65 추천 0 댓글 0",추천 0,조회 65,2025.04.28 08:29:44,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=231&page=1
아침,,할복실금,"정어계 2025.04.28 08:17:09
조회 31 추천 0 댓글 0",추천 0,조회 31,2025.04.28 08:17:09,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=230&page=1
여기 기숙사생 적어도 3명은 있는듯,,기숙사가 이렇게 똥간이었나,"광갤러(210.120) 2025.04.27 23:31:58
조회 57 추천 0 댓글 0",추천 0,조회 57,2025.04.27 23:31:58,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=226&page=1
누가 더 유명함 에미넴 메시,,- dc official App,"디바(59.28) 2025.04.27 23:28:54
조회 54 추천 0 댓글 1",추천 0,조회 54,2025.04.27 23:28:54,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=225&page=2
청소 왜 개지랄이노,,미친년,"광갤러(210.120) 2025.04.27 22:22:19
조회 35 추천 0 댓글 0",추천 0,조회 35,2025.04.27 22:22:19,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=222&page=2
인간의 성욕을 자극하는 할복,,"아프고 죽기 싫어서 발버둥 치는 것도 좋고
웃으면서 장기자랑하는 것도 좋지만
의의는 실금과 배변에 있다

일단 몸에 힘이 빠져서 나온다는 부분이 제일 꼴","정어계 2025.04.27 02:12:09
조회 66 추천 0 댓글 0",추천 0,조회 66,2025.04.27 02:12:09,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=219&page=2
왕숙천 산책하고 왔다,,할복하기 딱 좋은 곳,"정어계 2025.04.26 20:01:31
조회 48 추천 0 댓글 0",추천 0,조회 48,2025.04.26 20:01:31,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=218&page=2
나는 사실 유체이탈을 할 수 있어,,"너네 똥싸는거 지켜봤어
낑낑 거리는게 귀엽더라","정어계 2025.04.26 06:16:40
조회 39 추천 0 댓글 0",추천 0,조회 39,2025.04.26 06:16:40,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=217&page=2
부끄러워하는 나체의 은발미소녀,,,"정어계 2025.04.26 06:08:59
조회 44 추천 0 댓글 0",추천 0,조회 44,2025.04.26 06:08:59,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=216&page=2
할복이 꼴린다 쇼타를 범죄자로 키울거다 로리는 굶겨죽인다 이러지만 결국,,"시험 끝나면 정상성욕 돌아올게 뻔한걸

한국의 교육제도는 사람을 싸이코패스로 만든다 ㄷㄷㄷㄷ","정어계 2025.04.25 03:29:05
조회 54 추천 0 댓글 0",추천 0,조회 54,2025.04.25 03:29:05,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=212&page=2
귀여운 로리는 굶어죽이고 싶음,,"굶어 죽는 과정 말라가는 과정 지켜보고 싶어
밥 달라고 하면 죽인다고 협박하며 사랑을 갈구하게 만들고 싶음
근데 사랑은 안주고 싶음. 사랑 받지 못한 미소녀가 너무 좋음","정어계 2025.04.25 03:10:34
조회 42 추천 0 댓글 0",추천 0,조회 42,2025.04.25 03:10:34,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=209&page=2
페미년들 다 뒤져라,,"고3이 있지도 않은 가오잡고 오스트렐라피테쿠스 마냥 구부정하게  걷노
키도 작은 년이 할머니인데 노인정이나 가지 뭔 기숙사를 쳐 와서 죽여버리고 싶게 만드노","광갤러(210.120) 2025.04.24 23:14:50
조회 46 추천 0 댓글 0",추천 0,조회 46,2025.04.24 23:14:50,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=202&page=2
사감 또,,개지랄이노,"광갤러(210.120) 2025.04.24 22:15:30
조회 44 추천 0 댓글 0",추천 0,조회 44,2025.04.24 22:15:30,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=201&page=2
귀여운 쇼타를 보면 괴롭히고 싶음,,"신체적 폭행은 물론이고 정서적 학대도 해서 자존감 낮아지게 하고싶다.
나한테서 못벗어나게
모든 인간은 쓰레기고 나만 믿어야한다면서 가스라이팅 하고
범죄자로 키우고 싶음","정말어쩔수없는계정 2025.04.24 21:23:59
조회 53 추천 0 댓글 0",추천 0,조회 53,2025.04.24 21:23:59,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=200&page=2
공부하기 싫다,,그치 네루야,"정말어쩔수없는계정 2025.04.24 21:09:46
조회 60 추천 0 댓글 0",추천 0,조회 60,2025.04.24 21:09:46,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=198&page=2
시체는,,"옷 벗겨서 사람 많이 다니는 곳에 전시하고 싶음
난 진지해","정말어쩔수없는계정 2025.04.24 12:08:19
조회 40 추천 0 댓글 0",추천 0,조회 40,2025.04.24 12:08:19,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=193&page=2
할보기할복 할복어,,"내장 튀어나오고 피도 뿜고 오줌도 지리고

갈비뼈 뜯으면 비명지름

겁나 아파죽겠는 와중에 능욕 겁나 당하고

어느순간부터 고통 안느껴지는 것 같으면

직장이나 대장 찌르고 가르면서 대변 꺼내서 보여주고 싶음.

그러다 죽으면 세워서 매달아놓고 괄약근 풀림+중력때문에
대소변 우르르 쏟아져나옴.","정말어쩔수없는계정 2025.04.24 08:41:53
조회 48 추천 0 댓글 0",추천 0,조회 48,2025.04.24 08:41:53,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=191&page=2
사감 개지랄이노,,ㅇ,"광갤러(210.120) 2025.04.24 00:16:13
조회 50 추천 0 댓글 0",추천 0,조회 50,2025.04.24 00:16:13,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=190&page=2
사람은 죽으면,,똥을 남긴다,"정말어쩔수없는계정 2025.04.23 20:40:09
조회 48 추천 0 댓글 0",추천 0,조회 48,2025.04.23 20:40:09,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=189&page=2
저 시발 장애병신은 ㄴㄱ냐,,개지랄떠네,"현무(210.120) 2025.04.23 18:21:26
조회 81 추천 0 댓글 0",추천 0,조회 81,2025.04.23 18:21:26,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=188&page=2
하우웃한녀오나홀에넣어버려엇,,,"현무노~(222.101) 2025.04.22 16:28:12
조회 78 추천 0 댓글 0",추천 0,조회 78,2025.04.22 16:28:12,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=182&page=2
한녀들 한심하노,,시험 망했다고 질질짜는거 보소,"현무노~(222.101) 2025.04.22 16:16:05
조회 58 추천 0 댓글 0",추천 0,조회 58,2025.04.22 16:16:05,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=180&page=2
쥬,,,"현무노~(222.101) 2025.04.22 16:00:54
조회 71 추천 1 댓글 0",추천 1,조회 71,2025.04.22 16:00:54,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=178&page=2
섹스이러네ㅋㅋㅋ,,음악이야말로진정한섹스라고머저리야머저리야머저리야머저리야머저리야머저리야머저리야머저리야머저리야머저리야,"정말어쩔수없는계정 2025.04.22 15:52:32
조회 53 추천 0 댓글 0",추천 0,조회 53,2025.04.22 15:52:32,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=176&page=2
병신섹스노무좋노응기잇,,,"현무노~(222.101) 2025.04.22 15:48:25
조회 62 추천 0 댓글 0",추천 0,조회 62,2025.04.22 15:48:25,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=175&page=2
음침여고생이 비명지르는 짤,,,"정말어쩔수없는계정 2025.04.22 15:29:22
조회 79 추천 0 댓글 0",추천 0,조회 79,2025.04.22 15:29:22,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=172&page=2
여러분 정신 차리세요!!,,욕망을 절제하셔야 합니다~,"욕망을절제하셔야합니다~ 2025.04.22 15:22:46
조회 48 추천 0 댓글 0",추천 0,조회 48,2025.04.22 15:22:46,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=171&page=2
만점 못받으면 생기는 일,,,"정말어쩔수없는계정 2025.04.22 15:11:26
조회 60 추천 0 댓글 0",추천 0,조회 60,2025.04.22 15:11:26,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=170&page=2
앙앙 가슴짱 야메뗑 ㅜ,,,"현무(222.101) 2025.04.22 14:46:40
조회 94 추천 4 댓글 0",추천 4,조회 94,2025.04.22 14:46:40,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=169&page=2
앙 가슴,,ㅋ,"현무(222.101) 2025.04.22 14:37:43
조회 75 추천 0 댓글 0",추천 0,조회 75,2025.04.22 14:37:43,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=167&page=2
하우읏,,만점 맞아서 엉망진창 멧챠큣챠 가버려엇..!!♡@♡,"현무(222.101) 2025.04.22 13:35:24
조회 67 추천 1 댓글 0",추천 1,조회 67,2025.04.22 13:35:24,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=166&page=2
시험후기,,,"정말어쩔수없는계정 2025.04.22 12:43:35
조회 74 추천 1 댓글 0",추천 1,조회 74,2025.04.22 12:43:35,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=165&page=2
오...,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"욕망을절제하셔야합니다~ 2025.04.21 16:27:35
조회 44 추천 1 댓글 0",추천 1,조회 44,2025.04.21 16:27:35,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=161&page=2
"교실,그리고 똥",,"아직은 아니다.
아직은 안된다.
모두가 구역질을 멈추지 못하고 있다.
담임 선생님은 똥 속으로 사라진지 오래됐다.
저 똥은 누구의 똥....
아니 그보다
암모니아 냄새가 진동하잖아!!!!!","정말어쩔수없는계정 2025.04.21 14:27:34
조회 55 추천 0 댓글 0",추천 0,조회 55,2025.04.21 14:27:34,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=158&page=2
인스타 고해성사인지 구애성사인지,,어떤 개병신장애새끼가 내 얘기했냐 ㅋㅋㅋ,"현무(210.120) 2025.04.21 12:11:32
조회 71 추천 0 댓글 0",추천 0,조회 71,2025.04.21 12:11:32,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=157&page=2
"현무님, 욕망을절제하셔야합니다~",,저랑사귀어요,"욕망을절제하셔야합니다~ 2025.04.21 09:57:37
조회 65 추천 0 댓글 1",추천 0,조회 65,2025.04.21 09:57:37,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=156&page=2
헤후응.....,,특정당해서학교공용변기로학생들에게봉사당하고싶어졋!,"현무(210.120) 2025.04.21 08:31:53
조회 66 추천 0 댓글 2",추천 0,조회 66,2025.04.21 08:31:53,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=155&page=2
광동고괴담,,"광동고 교내 어딘가에 불사조의 똥화석이 있다고한다.
그걸 뜨거운 물에 담가 우려마시면 펑범한 인간도 영생을 살 수 있다고.......","정말어쩔수없는계정 2025.04.21 08:07:55
조회 88 추천 0 댓글 0",추천 0,조회 88,2025.04.21 08:07:55,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=152&page=2
아이고~,,현무 등장~,"현무(210.120) 2025.04.21 08:04:31
조회 39 추천 0 댓글 0",추천 0,조회 39,2025.04.21 08:04:31,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=151&page=2
개뻘짓이다.,,반박시 니 말이 다 틀림 ㅇㅇ,"ㅇㅇ(175.192) 2025.04.20 23:11:47
조회 72 추천 0 댓글 0",추천 0,조회 72,2025.04.20 23:11:47,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=145&page=2
다들 인스타보고 왔네,,"특정잡힐까봐 유동으로 쓰는데
눈팅하지말고 글좀 올려","ㅌㄹㄱㅇ(182.216) 2025.04.20 22:44:19
조회 99 추천 3 댓글 0",추천 3,조회 99,2025.04.20 22:44:19,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=144&page=2
눈팅만 하지 말고 글을 써봐라 게이야,,"좆같은 광갤 눈팅하는거 보면 같은 학교 아닌교?
다른 병신련은 글쓰기 시작했는데
아직도 눈팅하는 장애병신은 뭐노? ㅋㅋ","현무(210.120) 2025.04.20 16:19:37
조회 63 추천 0 댓글 1",추천 0,조회 63,2025.04.20 16:19:37,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=142&page=2
아니시불 개웃기노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,https://youtu.be/e03N8be6eb4,"현무(210.120) 2025.04.20 16:13:16
조회 57 추천 0 댓글 0",추천 0,조회 57,2025.04.20 16:13:16,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=141&page=2
아니 현무 왜 나랑 아이피 같냐고,,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미세하게 다른 것도 아니고 아예 겹치는데 같은반은 아니겠지,"ㅇㅇ(210.120) 2025.04.18 13:53:19
조회 58 추천 0 댓글 1",추천 0,조회 58,2025.04.18 13:53:19,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=140&page=2
ㅇㅇ,,ㅇ,"현무(210.120) 2025.04.18 13:52:32
조회 33 추천 0 댓글 0",추천 0,조회 33,2025.04.18 13:52:32,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=139&page=2
ㅅㅔㄱ스 하고 싶다고?,,음악이야말로 진정한 섹스다 음악을 들어라,"ㅇㅇ(220.121) 2025.04.16 16:21:10
조회 51 추천 0 댓글 0",추천 0,조회 51,2025.04.16 16:21:10,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=137&page=2
너의 눈동자를,,핥핥핥핥핥핥,"ㅇㅇ(210.120) 2025.04.08 08:04:14
조회 17 추천 1 댓글 0",추천 1,조회 17,2025.04.08 08:04:14,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=133&page=2
현무 등장,,현무혀무현무현노ㅜㅜ현무ㅜ노무ㅜ현,"현무(210.120) 2025.04.08 00:05:34
조회 29 추천 0 댓글 0",추천 0,조회 29,2025.04.08 00:05:34,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=132&page=2
맨날 학교에서 ㅈr우ㅣ하던 놈 어디갔냐,,걸림?,"ㅇㅇ(118.235) 2025.04.07 18:58:50
조회 97 추천 0 댓글 1",추천 0,조회 97,2025.04.07 18:58:50,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=131&page=2
내일은 자판기 앞에서,,ㅇㅇ,"현무(210.120) 2025.03.27 22:50:03
조회 69 추천 0 댓글 1",추천 0,조회 69,2025.03.27 22:50:03,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=130&page=2
교실자위 후기,,"헤으응,,","현무(210.120) 2025.03.27 22:28:18
조회 118 추천 0 댓글 1",추천 0,조회 118,2025.03.27 22:28:18,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=129&page=2
너희 교실에서 똥좀 그만싸,,"교실이 야해지자나
오줌도 같이 지리면서
확 그냥 기저귀를 채워버릴까봐
너희들 똥을 먹는 추잡한 행위까지 하는건 아니디?
웅?
꺄아아아아ㅏㅏㅏ너무 야행~!
똥냄새 맡고 구토나 울컥울컥 해버려랏~♡
꿀꺽꿀꺽","ㅇㅇ(210.120) 2025.03.27 02:07:59
조회 51 추천 1 댓글 0",추천 1,조회 51,2025.03.27 02:07:59,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=127&page=2
게이들아,,고닉파라 병신이 몇명이노,"현무(210.120) 2025.03.27 00:59:24
조회 30 추천 0 댓글 0",추천 0,조회 30,2025.03.27 00:59:24,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=125&page=3
광갤러들아,,자위하자 장소 추천 ㄱ 같이 ㄱㄱ,"현무(210.120) 2025.03.26 23:27:28
조회 70 추천 0 댓글 2",추천 0,조회 70,2025.03.26 23:27:28,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=124&page=3
더러운 얘기하는 쟤 왜 나랑 아이피가 같냐,,너도 광동고임?,"광갤러(210.120) 2025.03.26 23:11:21
조회 49 추천 0 댓글 0",추천 0,조회 49,2025.03.26 23:11:21,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=123&page=3
교실 자위후기,,모고인줄 몰랐노..,"광갤러(210.120) 2025.03.26 23:09:42
조회 110 추천 0 댓글 2",추천 0,조회 110,2025.03.26 23:09:42,https://gall.dcinside.com/mgallery/board/view/?id=kwangdong&no=122&page=3
