제목,말머리,내용,글쓴이,추천수,조회수,날짜,링크
2024 수성고 정리,,"06:평균 상위권 잘하는 애들 ㅈㄴ잘함 많지는 않아 12등급 경쟁 심하지 않음
07:병신많음 상위권이 ㅈㄴ많아 123경쟁 치열함
08:그냥 병신 천국 상위권부터 하위권까지 수준 떨어짐 근데 모고 백분위는 괜찮게 나옴 08년생 자체가 병신

선생피셜","수갤러(116.127) 2024.08.23 20:25:06
조회 1235 추천 3 댓글 6",추천 3,조회 1235,2024.08.23 20:25:06,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=91&page=1
전학생없냐?,,뭐 걍 학교 좆노잼이네 2학기땐 전학생오던 사건터지던 뭐좀 했으면,"ㅇㅇ(61.83) 2024.07.21 17:34:06
조회 329 추천 0 댓글 1",추천 0,조회 329,2024.07.21 17:34:06,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=90&page=1
동원고 도대체 뭔일이냐?,,진짜냐 구라냐 어떤게이는 진짜라고 하고 다른게이는 아니라고 하는데 나는 모르겠다,"ㅇㅇ(182.228) 2024.04.15 23:36:06
조회 927 추천 0 댓글 0",추천 0,조회 927,2024.04.15 23:36:06,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=89&page=1
정중하게 동원고갤 방문 부탁한다 사건터졌다,,"동원갤 와서 이 사건 좀 공롱화해주길 바란다.


우리의 영원한 라이벌이자 친구 수붕이들


이 사건 묻히면 안된다 생각한다","욱욱웅(61.39) 2024.04.15 23:04:38
조회 846 추천 0 댓글 1",추천 0,조회 846,2024.04.15 23:04:38,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=88&page=1
3모 나보다 잘 본 고1 수붕이 나와,,국수영-212,"동붕이(61.39) 2024.03.28 20:26:14
조회 669 추천 2 댓글 6",추천 2,조회 669,2024.03.28 20:26:14,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=87&page=1
지금부터 여기는 동원고 갤러리다,,꼬우면 맞짱뜨자,"동붕이(61.39) 2024.03.24 14:43:42
조회 489 추천 3 댓글 6",추천 3,조회 489,2024.03.24 14:43:42,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=86&page=1
지금부터 여기는 대평고 갤러리다,,꼬우면 맞짱뜨자,"수갤러(211.114) 2024.03.05 13:17:20
조회 500 추천 3 댓글 0",추천 3,조회 500,2024.03.05 13:17:20,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=84&page=1
수성고 야자아직도 필수인가요?,,야자필수인걸로 알아서 지원했는데 맞는지 확인부탁드립니다,"수갤러(116.41) 2024.01.21 01:28:39
조회 510 추천 0 댓글 4",추천 0,조회 510,2024.01.21 01:28:39,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=83&page=1
갈틱폰 ㄱㄱ,,"https://garticphone.com/ko/?c=00b1038db6
 Gartic Phone - 옮겨 말하기
온라인 게임, 옮겨 말하기! 지금 무료로 이 인기 게임을 플레이하세요.
garticphone.com","ㅇㅇ(211.114) 2024.01.02 15:31:13
조회 239 추천 0 댓글 1",추천 0,조회 239,2024.01.02 15:31:13,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=82&page=1
영생고에서 왔습니다.,,안녕하세요,"ㅇㅇ(119.71) 2023.12.17 03:49:25
조회 324 추천 2 댓글 1",추천 2,조회 324,2023.12.17 03:49:25,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=81&page=1
인하대 면접보러 오는 놈 있냐?,,"학종면접조교 뽑는대서 신청해놨다. 나 찾으면 싸이버거 사줌 ㅇ
- dc official App","수갤러(115.138) 2023.09.19 17:56:51
조회 276 추천 0 댓글 0",추천 0,조회 276,2023.09.19 17:56:51,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=80&page=1
수성고 내신 꿀팁,,"그런건없다 게이야 ㅋㅋㅋ
- dc official App","ㅇㅇ(182.230) 2023.08.08 16:12:43
조회 1503 추천 13 댓글 1",추천 13,조회 1503,2023.08.08 16:12:43,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=79&page=1
너네망한거같으면 지구과학II 응시해라,,"올해는찍어도3보장이다

그냥. 공부하기싫고
날먹하고싶으면 골라..

물화생보다 장점: 한국에 지2를
할줄아는사람이 별로안많음

설령할줄알더라도 휘발성이
가장강해 까먹음","권남몬 2023.06.14 14:13:18
조회 507 추천 0 댓글 1",추천 0,조회 507,2023.06.14 14:13:18,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=78&page=1
솔직히 수일이 더 좋은거 같으면 개추ㅋㅋ,,ㅈㄱㄴ,"ㅇㅇ(121.125) 2023.04.20 23:44:37
조회 818 추천 23 댓글 2",추천 23,조회 818,2023.04.20 23:44:37,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=75&page=1
이런갤이 있는지도 몰랐네,,ㅋㅋ,"yanyai(122.34) 2023.04.19 22:48:25
조회 214 추천 0 댓글 0",추천 0,조회 214,2023.04.19 22:48:25,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=74&page=1
60회 졸업생인데,,요즘 새끼들 공부 안하냐?,"ㅇㅇ(223.38) 2023.02.20 17:31:05
조회 578 추천 0 댓글 2",추천 0,조회 578,2023.02.20 17:31:05,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=72&page=1
대평써서 미끄러졌는데 인생 족친건가요,,대평중에서 공부로 평타치다가 미끄러진장애인인데 수성고가서 어느정도 할수잇을까요ㅠㅠ? 살아남을수잇나요ㅠㅠ,"대평가고싶은대유평인(112.186) 2023.02.18 01:45:54
조회 651 추천 4 댓글 1",추천 4,조회 651,2023.02.18 01:45:54,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=71&page=1
수성고 요새 서울대 한명도 못보내냐?,,어쩌다 이렇게 떡락함?,"ㅇㅇ(211.48) 2023.01.18 03:44:02
조회 1076 추천 0 댓글 2",추천 0,조회 1076,2023.01.18 03:44:02,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=69&page=1
수성고 문이과 비율,,보통 어느정도인가요 1지망 수성썼는데,"ㅇㅇ(211.234) 2023.01.15 13:06:06
조회 512 추천 0 댓글 1",추천 0,조회 512,2023.01.15 13:06:06,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=68&page=1
예비 고2들을 위한 유산,,잘 받아둬라.,"ㅇㅇ(223.38) 2023.01.05 10:36:23
조회 502 추천 0 댓글 0",추천 0,조회 502,2023.01.05 10:36:23,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=67&page=1
싸지박자 게이들아,,딱좋노 이기,"10709서정호(116.127) 2022.12.02 22:35:39
조회 455 추천 2 댓글 1",추천 2,조회 455,2022.12.02 22:35:39,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=65&page=1
수성고 문이과 요약,,"이과: 공부 존나 열심히 하고 잘함 수원의 희망이자 자랑


문과:  남고까지 기어 쳐 들어왔으면서 과학 수학 존나 못함 공부는 더럽게 못하는데 또 더럽게 안해서 걍 반에서 쳐 놀거나 잠만 잠.
문과중에 공부 좀 한다는 애들보면 국영수 45뜨는데 탐구 123 쳐뜨는 허수가 대부분 애네는 걍 숙지고 문과수준이랑 삐까뜨는데 꼴에 수성뽕 차있어서 다른학교가면 123 가뿐히 뜨는줄 앎 ㅇ","ㅇㅇ(115.138) 2022.11.12 22:21:35
조회 1238 추천 12 댓글 2",추천 12,조회 1238,2022.11.12 22:21:35,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=64&page=1
수성 퇴물아니냐 이제?,,고색이 명문이다 ㅇㅇ,"고색고대표(112.221) 2022.10.09 18:15:08
조회 872 추천 0 댓글 3",추천 0,조회 872,2022.10.09 18:15:08,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=63&page=1
망갤테스트,,,"ㅇㅇ(14.47) 2022.07.27 22:20:44
조회 871 추천 19 댓글 0",추천 19,조회 871,2022.07.27 22:20:44,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=62&page=1
섹스하고싶다,,ㅇㅇ,"ㅇㅇ(112.159) 2022.07.24 00:53:27
조회 641 추천 3 댓글 1",추천 3,조회 641,2022.07.24 00:53:27,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=60&page=1
고 1 서답형 난이도 이거 맞냐?,,시발,"ㅇㅇ(221.163) 2022.06.29 00:56:11
조회 545 추천 0 댓글 0",추천 0,조회 545,2022.06.29 00:56:11,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=59&page=1
유튜브 보고왓는데 여기가 그 반대항 고등학교맞냐? ㅋㅋㅋㅋ,,개지리네,"ㅇㅇ(118.39) 2022.06.14 22:00:32
조회 836 추천 4 댓글 2",추천 4,조회 836,2022.06.14 22:00:32,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=57&page=1
빡빡이들 왤케많음?,,여드름 좆돼지 빡빡이들 존나많네,"ㅇㅇ(211.36) 2022.05.26 19:52:57
조회 294 추천 0 댓글 0",추천 0,조회 294,2022.05.26 19:52:57,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=54&page=1
오늘은 중력절이다,,1학년 핏덩이 잼민이 버러지 쓰레기들 모두 운지해라,"ㅇㅇ(211.114) 2022.05.23 08:45:31
조회 452 추천 9 댓글 1",추천 9,조회 452,2022.05.23 08:45:31,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=53&page=1
수성고 내신 쉬워요?,,ㅇ,"ㅠㅠ 2022.05.19 21:44:04
조회 891 추천 0 댓글 2",추천 0,조회 891,2022.05.19 21:44:04,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=52&page=1
이제부터 여긴 동원고 갤러리다.,,,"ㅇㅇ(106.101) 2022.05.06 12:50:28
조회 836 추천 15 댓글 0",추천 15,조회 836,2022.05.06 12:50:28,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=51&page=1
노무현,,노무현,"ㅇㅇ(211.36) 2022.04.28 12:06:26
조회 421 추천 7 댓글 2",추천 7,조회 421,2022.04.28 12:06:26,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=50&page=2
1학년 핏덩이들 얼굴 왜 이렇게 삭았냐,,한번 삶았냐,"ㅇㅇ(58.122) 2022.04.23 22:12:40
조회 934 추천 11 댓글 2",추천 11,조회 934,2022.04.23 22:12:40,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=49&page=2
백두대간,,- dc official App,"ㅇㅇ(211.246) 2022.04.23 22:06:16
조회 157 추천 2 댓글 1",추천 2,조회 157,2022.04.23 22:06:16,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=48&page=2
억만년,,- dc official App,"ㅇㅇ(211.246) 2022.04.23 22:06:04
조회 46 추천 1 댓글 0",추천 1,조회 46,2022.04.23 22:06:04,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=47&page=2
다진 터전에,,- dc official App,"ㅇㅇ(211.246) 2022.04.23 22:05:54
조회 39 추천 0 댓글 0",추천 0,조회 39,2022.04.23 22:05:54,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=45&page=2
홍익인간,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:02:26
조회 36 추천 0 댓글 0",추천 0,조회 36,2022.04.23 22:02:26,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=44&page=2
위대한,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:02:19
조회 54 추천 0 댓글 0",추천 0,조회 54,2022.04.23 22:02:19,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=43&page=2
꿈을 심었네,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:02:13
조회 35 추천 0 댓글 0",추천 0,조회 35,2022.04.23 22:02:13,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=42&page=2
진리와,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:02:03
조회 46 추천 1 댓글 0",추천 1,조회 46,2022.04.23 22:02:03,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=41&page=2
정의는,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:01:57
조회 33 추천 0 댓글 0",추천 0,조회 33,2022.04.23 22:01:57,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=40&page=2
동원의 기상,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:01:47
조회 68 추천 1 댓글 0",추천 1,조회 68,2022.04.23 22:01:47,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=39&page=2
사랑과,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:01:30
조회 38 추천 0 댓글 0",추천 0,조회 38,2022.04.23 22:01:30,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=38&page=2
봉사는,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:01:24
조회 30 추천 1 댓글 0",추천 1,조회 30,2022.04.23 22:01:24,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=37&page=2
동원의 맥박,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:01:18
조회 44 추천 1 댓글 0",추천 1,조회 44,2022.04.23 22:01:18,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=36&page=2
빛내어라,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:01:10
조회 36 추천 1 댓글 0",추천 1,조회 36,2022.04.23 22:01:10,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=35&page=2
나라와,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:01:04
조회 36 추천 1 댓글 0",추천 1,조회 36,2022.04.23 22:01:04,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=34&page=2
겨레의 이름,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:00:52
조회 40 추천 1 댓글 0",추천 1,조회 40,2022.04.23 22:00:52,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=33&page=2
번영하라,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:00:29
조회 52 추천 1 댓글 0",추천 1,조회 52,2022.04.23 22:00:29,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=32&page=2
영원하라,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:00:23
조회 45 추천 1 댓글 0",추천 1,조회 45,2022.04.23 22:00:23,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=31&page=2
동원고교,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:00:16
조회 110 추천 1 댓글 0",추천 1,조회 110,2022.04.23 22:00:16,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=30&page=2
고1과 첫 시험.jpg,,"아 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ






















야.. 너두?","ㄹㄹ(211.184) 2022.04.17 16:25:31
조회 540 추천 1 댓글 0",추천 1,조회 540,2022.04.17 16:25:31,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=29&page=2
신입들 환영한다,,니들 3학년때 학교 재건축 공사함ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,"ㅇㅇ(219.240) 2022.04.10 15:35:07
조회 175 추천 0 댓글 0",추천 0,조회 175,2022.04.10 15:35:07,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=28&page=2
11반 그 놈은 듣거라,,우리 게이는 그게 없니..?,"ㅇㅇ(223.38) 2022.04.07 18:35:01
조회 473 추천 3 댓글 2",추천 3,조회 473,2022.04.07 18:35:01,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=27&page=2
스마트폰중독ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,ㅋㅋ,"ㅇㅇ(211.114) 2022.04.06 16:32:19
조회 126 추천 1 댓글 0",추천 1,조회 126,2022.04.06 16:32:19,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=26&page=2
아 씨발 남녀공학을 갔어야 했는데,,살려줘여,"ㅇㅇ(223.39) 2022.03.22 20:08:09
조회 378 추천 1 댓글 0",추천 1,조회 378,2022.03.22 20:08:09,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=23&page=2
지학실 태양의 연주운동이랑 황도 12궁 교구,,그거 지구 잘 보면 러시아가 아니고 소비에트 연방이었는데 아직도 그럼?,"긴축재정 2022.03.22 12:16:02
조회 100 추천 0 댓글 0",추천 0,조회 100,2022.03.22 12:16:02,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=22&page=2
수성고 정예학생들 1-12반 모여라,,웃흥,"ㅇㅇ(59.12) 2022.03.21 21:16:40
조회 881 추천 19 댓글 4",추천 19,조회 881,2022.03.21 21:16:40,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=21&page=2
응애 나 아기 1학년,,대ㅋㅋㅋㅋㅋㅋ수ㅋㅋㅋㅋㅋ성ㅋㅋㅋㅋㅋㅋ,"ㅇㅇ(14.4) 2022.03.21 18:14:55
조회 133 추천 1 댓글 0",추천 1,조회 133,2022.03.21 18:14:55,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=20&page=2
수마갤 터진거 아니었냐,,왜 다시 됨?,"긴축재정 2022.03.20 16:50:05
조회 167 추천 0 댓글 1",추천 0,조회 167,2022.03.20 16:50:05,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=19&page=2
어떻게 새학년 되고 아직까지 글이 없노,,"수성고는 씹게이밖에 없노?
- dc official App","ㅇㅇ(223.39) 2022.03.20 12:27:03
조회 253 추천 2 댓글 1",추천 2,조회 253,2022.03.20 12:27:03,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=18&page=2
응애,,ㅇ,"ㅇㅇ(211.36) 2022.02.06 13:31:17
조회 101 추천 0 댓글 0",추천 0,조회 101,2022.02.06 13:31:17,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=16&page=2
뭐야,,이런 갤러리도 있네,"잠도못잔다야(124.50) 2022.01.30 09:16:54
조회 133 추천 0 댓글 0",추천 0,조회 133,2022.01.30 09:16:54,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=15&page=2
잘부탁드립니다....,,장안썼다가 미끄러진 수성게이입니다.잘부탁듭립니다 선배님들,"ㅎㅈ(61.101) 2022.01.28 14:58:28
조회 234 추천 0 댓글 1",추천 0,조회 234,2022.01.28 14:58:28,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=13&page=2
여기 뭐냐?,,13년 졸업 틀딱인데 이런게 생겼노ㅋㅋ,"ㅇㅇ(219.240) 2022.01.25 20:49:20
조회 321 추천 0 댓글 2",추천 0,조회 321,2022.01.25 20:49:20,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=12&page=2
05년생 헬스하는 여고생 힙 ㄷㄷ...,,"섹시하다
- dc official App","귀요미(211.44) 2022.01.24 23:22:47
조회 870 추천 3 댓글 4",추천 3,조회 870,2022.01.24 23:22:47,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=11&page=2
수성고 게이들 많노?,,"똥꼬충 새끼들 에이즈 걸려 뒤져라ㅋㅋ
- dc official App","빌리(211.44) 2022.01.13 23:06:42
조회 367 추천 0 댓글 0",추천 0,조회 367,2022.01.13 23:06:42,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=7&page=2
ㅈ같다,,좆수성 5년차다 자살하고 싶다.. 공학다니는 새끼들은 떡치고 다하고 살던데 자살하고 싶다.,"전설의 핵주먹(223.38) 2022.01.13 20:46:39
조회 756 추천 9 댓글 2",추천 9,조회 756,2022.01.13 20:46:39,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=6&page=2
시발,,수성고 좆같다 시발,"전설의 핵주먹(223.38) 2022.01.13 20:44:47
조회 176 추천 1 댓글 0",추천 1,조회 176,2022.01.13 20:44:47,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=5&page=2
수붕이들 반갑다,,즐거운 갤질하자 게이들아,"수성진골 2022.01.13 18:25:15
조회 220 추천 4 댓글 1",추천 4,조회 220,2022.01.13 18:25:15,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=4&page=2
수성 올해로 5년차 05다,,"반갑노 게이들아
- dc official App","수성성골 2022.01.13 16:12:36
조회 869 추천 5 댓글 1",추천 5,조회 869,2022.01.13 16:12:36,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=3&page=2
갤러리 처음 온 게이들은 공지를 보자,,바람직한 갤질을 하자 이거야,"수성완장 2022.01.13 16:01:28
조회 773 추천 4 댓글 4",추천 4,조회 773,2022.01.13 16:01:28,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=2&page=2
노무현,,노무현,"ㅇㅇ(211.36) 2022.04.28 12:06:26
조회 422 추천 7 댓글 2",추천 7,조회 422,2022.04.28 12:06:26,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=50&page=2
1학년 핏덩이들 얼굴 왜 이렇게 삭았냐,,한번 삶았냐,"ㅇㅇ(58.122) 2022.04.23 22:12:40
조회 935 추천 11 댓글 2",추천 11,조회 935,2022.04.23 22:12:40,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=49&page=2
백두대간,,- dc official App,"ㅇㅇ(211.246) 2022.04.23 22:06:16
조회 158 추천 2 댓글 1",추천 2,조회 158,2022.04.23 22:06:16,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=48&page=2
억만년,,- dc official App,"ㅇㅇ(211.246) 2022.04.23 22:06:04
조회 47 추천 1 댓글 0",추천 1,조회 47,2022.04.23 22:06:04,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=47&page=2
다진 터전에,,- dc official App,"ㅇㅇ(211.246) 2022.04.23 22:05:54
조회 40 추천 0 댓글 0",추천 0,조회 40,2022.04.23 22:05:54,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=45&page=2
홍익인간,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:02:26
조회 37 추천 0 댓글 0",추천 0,조회 37,2022.04.23 22:02:26,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=44&page=2
위대한,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:02:19
조회 55 추천 0 댓글 0",추천 0,조회 55,2022.04.23 22:02:19,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=43&page=2
꿈을 심었네,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:02:13
조회 36 추천 0 댓글 0",추천 0,조회 36,2022.04.23 22:02:13,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=42&page=2
진리와,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:02:03
조회 47 추천 1 댓글 0",추천 1,조회 47,2022.04.23 22:02:03,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=41&page=2
정의는,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:01:57
조회 34 추천 0 댓글 0",추천 0,조회 34,2022.04.23 22:01:57,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=40&page=2
동원의 기상,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:01:47
조회 69 추천 1 댓글 0",추천 1,조회 69,2022.04.23 22:01:47,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=39&page=2
사랑과,,- dc official App,"ㅇㅇ(39.117) 2022.04.23 22:01:30
조회 39 추천 0 댓글 0",추천 0,조회 39,2022.04.23 22:01:30,https://gall.dcinside.com/mgallery/board/view/?id=susung&no=38&page=2
